key,type,title,year,doi,has_doi,status,candidate_doi,candidate_confidence,note
DeLucaJohn200530006,article,"Fatigue, Cognition, and Mental Effort",2005,10.7551/mitpress/2967.003.0006,True,verified,,,DOI resolves
LambregtsBritt202207043,article,Effects of lipopolysaccharide-induced systemic inflammation and fatigue on cognitive effort expenditure,2022,10.1016/j.bbi.2022.07.043,True,verified,,,DOI resolves
LambregtsBIHM202108108,article,Effects of lipopolysaccharide on cognitive effort expenditure and its relation to IL-6 and fatigue,2021,10.1016/j.bbi.2021.08.108,True,verified,,,DOI resolves
YanXu2020110283,article,Cognitive effort investment and opportunity costs in strategic decision-making: An individual differences examination,2020,10.1016/j.paid.2020.110283,True,verified,,,DOI resolves
WahlersJustinN2025000393,article,Measuring subjective mental effort as an aversive and enjoyable phenomenon.,2025,10.1037/mot0000393,True,verified,,,DOI resolves
PattersonBD1981810395,article,Metabolic Aspects of Chilling Resistance: Alanine Accumulation and Glutamate Depletion in Relation to Chilling Sensitivity in Passionfruit Species,1981,10.1071/pp9810395,True,verified,,,DOI resolves
JohnsonEricJ200810003,article,"Man, my brain is tired: Linking depletion and cognitive effort in choice",2008,10.1016/j.jcps.2007.10.003,True,verified,,,DOI resolves
YeeDebbieM2020305482,article,Dorsal Anterior Cingulate Cortex Encodes the Integrated Incentive Motivational Value of Cognitive Task Performance,2020,10.1101/2020.09.20.305482,True,verified,,,DOI resolves
UmemotoAkina2017199687,article,Electrophysiological indices of anterior cingulate cortex function reveal changing levels of cognitive effort and reward valuation that sustain task performance,2017,10.1101/199687,True,verified,,,DOI resolves
AlexanderWilliam2020m9xh3,article,"Symmetric and Asymmetric Causal Neural Firing Interactions across Striatum, Anterior Cingulate and Prefrontal Cortex during Cognitive Control",2020,10.31234/osf.io/m9xh3,True,verified,,,DOI resolves
MedallaMaria200901006,article,Synapses with Inhibitory Neurons Differentiate Anterior Cingulate from Dorsolateral Prefrontal Pathways Associated with Cognitive Control,2009,10.1016/j.neuron.2009.01.006,True,verified,,,DOI resolves
CiceroDC200919731,article,Prefrontal Cortex and Anterior Cingulate Cue-Related Activity during a Cognitive Control Task,2009,10.1016/s1053-8119(09)71973-1,True,verified,,,DOI resolves
MartinKevanA2009618026,article,Faculty Opinions recommendation of Synapses with inhibitory neurons differentiate anterior cingulate from dorsolateral prefrontal pathways associated with cognitive control.,2009,10.3410/f.1157953.618026,True,verified,,,DOI resolves
MacDonaldAngus200009364,article,Functional double dissociation of dorsolateral prefrontal cortex and anterior cingulate cortex in cognitive control,2000,10.1016/s1053-8119(00)90936-4,True,verified,,,DOI resolves
VenturaBortCarlos2023tuzwp,article,Transcutaneous auricular vagus nerve stimulation modulates the processing of interoceptive prediction error signals and their role in allostatic regulation.,2023,10.31234/osf.io/tuzwp,True,verified,,,DOI resolves
VenturaBortCarlos202426613,article,Transcutaneous auricular vagus nerve stimulation modulates the processing of interoceptive prediction error signals and their role in allostatic regulation,2024,10.1002/hbm.26613,True,verified,,,DOI resolves
SedleyWilliam2024105536,article,Migraine as an allostatic reset triggered by unresolved interoceptive prediction errors,2024,10.1016/j.neubiorev.2024.105536,True,verified,,,DOI resolves
ManganBrodieEdward2026n2wv1,article,The Missing Link: Validating the Working Memory Adaptive Fatigue with N-Back Difficulty Protocol for Active Cognitive Fatigue Induction,2026,10.31234/osf.io/h4n2w_v1,True,verified,,,DOI resolves
WestfieldPaul2024004562,article,"Working Memory Capacity, Mental Fatigue, and Human Performance",2024,10.5220/0013152600004562,True,verified,,,DOI resolves
EvaMass2022003622,article,How Does Cognitive Fatigue and Mental Workload Influence Alarm Detection in Flight Simulator? Classification of Electrophysiological Signatures with Explainable IA,2022,10.5220/0011958100003622,True,verified,,,DOI resolves
LoristMonicqueM200501018,article,Impaired cognitive control and reduced cingulate activity during mental fatigue,2005,10.1016/j.cogbrainres.2005.01.018,True,verified,,,DOI resolves
ObaidLiqa202442194,article,The effect of a psychological counselling approach on cognitive load and mental fatigue among young 110-meter hurdles athletes,2024,10.37359/jope.v36(4)2024.2194,True,verified,,,DOI resolves
MathiasPessiglione2025ecf268,article,Origins and consequences of cognitive fatigue.,2025,10.1016/j.tics.2025.02.005,True,verified,,,DOI resolves
MGailliot200893ef52,article,Unlocking the Energy Dynamics of Executive Functioning: Linking Executive Functioning to Brain Glycogen,2008,10.1111/j.1745-6924.2008.00077.x,True,verified,,,DOI resolves
SFairclough2004b105f8,article,A metabolic measure of mental effort.,2004,10.1016/J.BIOPSYCHO.2003.10.001,True,verified,,,DOI resolves
MEngstrm20150c3313,article,Evidence of Conjoint Activation of the Anterior Insular and Cingulate Cortices during Effortful Tasks,2015,10.3389/fnhum.2014.01071,True,verified,,,DOI resolves
TobiasOtto20141e3f01,article,Neural correlates of mental effort evaluation--involvement of structures related to self-awareness.,2014,10.1093/scan/nss136,True,verified,,,DOI resolves
