study_id,authors,year,title,doi,pmid,journal,layer,study_design,population,sample_size,cognitive_task,task_duration,outcome_measures,discomfort_type,key_finding,theoretical_framework,limitations
LambregtsBIHM202337257522,"Lambregts, BIHM et al.",2023,Fatigue during acute systemic inflammation is associated with reduced mental effort expenditure while task accuracy is preserved.,10.1016/j.bbi.2023.05.013,37257522,"Brain, behavior, and immunity",general,experimental,unspecified,,,,task performance,general fatigue,,unspecified,
SunL202236078749,"Sun, L et al.",2022,An Investigation of the Effects of Brain Fatigue on the Sustained Attention of Intelligent Coal Mine VDT Operators.,10.3390/ijerph191711034,36078749,International journal of environmental research and public health,general,unclassified,unspecified,,sustained attention,,,general fatigue,,unspecified,
BogdanovM202235724812,"Bogdanov, M et al.",2022,Dopaminergic medication increases motivation to exert cognitive control by reducing subjective effort costs in Parkinson's patients.,10.1016/j.nlm.2022.107652,35724812,Neurobiology of learning and memory,general,unclassified,unspecified,,cognitive control,,subjective effort ratings,motivational,,unspecified,
BruijelJ202335107392,"Bruijel, J et al.",2023,Mental effort and recovery from task-induced fatigue in people with traumatic brain injury.,10.1080/09638288.2022.2030416,35107392,Disability and rehabilitation,general,experimental,unspecified,,,,,general fatigue,,unspecified,
SoutschekA202032710816,"Soutschek, A; Tobler, PN",2020,Causal role of lateral prefrontal cortex in mental effort and fatigue.,10.1002/hbm.25146,32710816,Human brain mapping,general,unclassified,unspecified,,,,,general fatigue,,unspecified,
AbenB202032273486,"Aben, B et al.",2020,Cognitive Effort Modulates Connectivity between Dorsal Anterior Cingulate Cortex and Task-Relevant Cortical Areas.,10.1523/JNEUROSCI.2948-19.2020,32273486,The Journal of neuroscience : the official journal of the Society for Neuroscience,L3,experimental,unspecified,,,,,N/A,,unspecified,
BambrahV201931522029,"Bambrah, V et al.",2019,"Anticipated, experienced, and remembered subjective effort and discomfort on sustained attention versus working memory tasks.",10.1016/j.concog.2019.102812,31522029,Consciousness and cognition,general,experimental,unspecified,,working memory; sustained attention,,subjective effort ratings,aversive signal,,unspecified,
OttoT201829912895,"Otto, T; Zijlstra, FRH; Goebel, R",2018,Feeling the force: Changes in a left-lateralized network of brain areas under simulated workday conditions are reflected in subjective mental effort investment.,10.1371/journal.pone.0198204,29912895,PloS one,general,unclassified,unspecified,,simulated workday,,,N/A,,unspecified,
OttoAR201929750987,"Otto, AR; Daw, ND",2019,The opportunity cost of time modulates cognitive effort.,10.1016/j.neuropsychologia.2018.05.006,29750987,Neuropsychologia,L1,unclassified,unspecified,,,,,N/A,,opportunity cost,
BerardJA201829670491,"Berard, JA; Smith, AM; Walker, LAS",2018,A Longitudinal Evaluation of Cognitive Fatigue on a Task of Sustained Attention in Early Relapsing-Remitting Multiple Sclerosis.,10.7224/1537-2073.2016-106,29670491,International journal of MS care,general,experimental,unspecified,,sustained attention,,,general fatigue,,unspecified,
HsuCF201829432429,"Hsu, CF et al.",2018,Mental effort and discomfort: Testing the peak-end effect during a cognitively demanding task.,10.1371/journal.pone.0191479,29432429,PloS one,general,experimental,unspecified,,,,,aversive signal,,unspecified,
HsuCF201728377736,"Hsu, CF; Eastwood, JD; Toplak, ME",2017,Differences in Perceived Mental Effort Required and Discomfort during a Working Memory Task between Individuals At-risk And Not At-risk for ADHD.,10.3389/fpsyg.2017.00407,28377736,Frontiers in psychology,general,experimental,unspecified,,working memory,,,aversive signal,,unspecified,
AShenhav20179df8a4,A. Shenhav et al.,2017,Toward a Rational and Mechanistic Account of Mental Effort.,10.1146/annurev-neuro-072116-031526,28375769,Annual review of neuroscience,general,unclassified,unspecified,,,,,N/A,,unspecified,
PravatE201626846988,"Pravatà, E et al.",2016,Hyperconnectivity of the dorsolateral prefrontal cortex following mental effort in multiple sclerosis patients with cognitive fatigue.,10.1177/1352458515625806,26846988,"Multiple sclerosis (Houndmills, Basingstoke, England)",general,unclassified,unspecified,,,,,general fatigue,,unspecified,
TakasakiH201424743457,"Takasaki, H et al.",2014,"A description of neck motor performance, neck pain, fatigue, and mental effort while driving in a sample with chronic whiplash-associated disorders.",10.1097/PHM.0000000000000087,24743457,American journal of physical medicine & rehabilitation,general,unclassified,unspecified,,,,,general fatigue,,unspecified,
PrudkovPN201324304801,"Prudkov, PN",2013,Mental effort and fatigue as consequences of monotony.,10.1017/S0140525X13001155,24304801,The Behavioral and brain sciences,general,unclassified,unspecified,,,,,general fatigue,,unspecified,
KurzbanR201324304775,"Kurzban, R et al.",2013,An opportunity cost model of subjective effort and task performance.,10.1017/S0140525X12003196,24304775,The Behavioral and brain sciences,L1,theoretical,N/A (theoretical),,,,subjective effort ratings,N/A,,opportunity cost,
BelmontA200919574545,"Belmont, A; Agar, N; Azouvi, P",2009,"Subjective fatigue, mental effort, and attention deficits after severe traumatic brain injury.",10.1177/1545968309340327,19574545,Neurorehabilitation and neural repair,general,unclassified,unspecified,,,,fatigue ratings,general fatigue,,unspecified,
BarakatA202541022693,"Barakat, A et al.",2025,Neurometabolic predictors of mental effort in the frontal cortex.,10.1038/s41398-025-03554-6,41022693,Translational psychiatry,general,unclassified,unspecified,,,,,N/A,,metabolic,
MllerHE202336369737,"Möller, HE",2023,Considerations on gradual glutamate accumulation related to cognitive task performance.,10.1177/0271678X221139550,36369737,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,L2,experimental,unspecified,,,,MRS glutamate,N/A,,metabolic,
WiehlerA202235961314,"Wiehler, A et al.",2022,A neuro-metabolic account of why daylong cognitive work alters the control of economic decisions.,10.1016/j.cub.2022.07.010,35961314,Current biology : CB,L2,unclassified,unspecified,,,,,N/A,,metabolic,
BaraniukJN202133440400,"Baraniuk, JN et al.",2021,Exercise modifies glutamate and other metabolic biomarkers in cerebrospinal fluid from Gulf War Illness and Myalgic encephalomyelitis / Chronic Fatigue Syndrome.,10.1371/journal.pone.0244116,33440400,PloS one,L2,unclassified,unspecified,,,,MRS glutamate,general fatigue,,metabolic,
StrasserA202032688366,"Strasser, A et al.",2020,Glutamine-to-glutamate ratio in the nucleus accumbens predicts effort-based motivated performance in humans.,10.1038/s41386-020-0760-6,32688366,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,L2,unclassified,unspecified,,,,MRS glutamate,N/A,,metabolic,
LepannetierS201830271326,"Lepannetier, S et al.",2018,Activation of TRPC1 Channel by Metabotropic Glutamate Receptor mGluR5 Modulates Synaptic Plasticity and Spatial Working Memory.,10.3389/fncel.2018.00318,30271326,Frontiers in cellular neuroscience,L2,unclassified,unspecified,,working memory,,MRS glutamate,N/A,,metabolic,
PflibsenL201526332770,"Pflibsen, L et al.",2015,"Executive function deficits and glutamatergic protein alterations in a progressive 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine mouse model of Parkinson's disease.",10.1002/jnr.23638,26332770,Journal of neuroscience research,L2,theoretical,N/A (theoretical),,,,MRS glutamate,N/A,,metabolic,
ChenX202641808199,"Chen, X et al.",2026,The Distinct Roles of the Dorsolateral Prefrontal Cortex and Dorsal Anterior Cingulate Cortex in Cognitive Control: Evidence From Transcranial Temporal Interference Stimulation.,10.1111/psyp.70269,41808199,Psychophysiology,L3,unclassified,unspecified,,cognitive control,,,N/A,,unspecified,
SuJ202234907025,"Su, J; Jia, W; Wan, X",2022,Task-Specific Neural Representations of Generalizable Metacognitive Control Signals in the Human Dorsal Anterior Cingulate Cortex.,10.1523/JNEUROSCI.1283-21.2021,34907025,The Journal of neuroscience : the official journal of the Society for Neuroscience,L3,experimental,unspecified,,cognitive control,,,N/A,,unspecified,
YeeDM202133707296,"Yee, DM et al.",2021,Dorsal Anterior Cingulate Cortex Encodes the Integrated Incentive Motivational Value of Cognitive Task Performance.,10.1523/JNEUROSCI.2550-20.2021,33707296,The Journal of neuroscience : the official journal of the Society for Neuroscience,L3,experimental,unspecified,,,,,motivational,,unspecified,
MllerT201929738794,"Müller, T; Apps, MAJ",2019,Motivational fatigue: A neurocognitive framework for the impact of effortful exertion on subsequent motivation.,10.1016/j.neuropsychologia.2018.04.030,29738794,Neuropsychologia,general,theoretical,N/A (theoretical),,,,,general fatigue; motivational,,unspecified,
KrauseUtzA201425389397,"Krause-Utz, A et al.",2014,Amygdala and Dorsal Anterior Cingulate Connectivity during an Emotional Working Memory Task in Borderline Personality Disorder Patients with Interpersonal Trauma History.,10.3389/fnhum.2014.00848,25389397,Frontiers in human neuroscience,L3,experimental,unspecified,,working memory,,ERP,N/A,,unspecified,
ShenC201524591526,"Shen, C et al.",2015,Anterior Cingulate Cortex Cells Identify Process-Specific Errors of Attentional Control Prior to Transient Prefrontal-Cingulate Inhibition.,10.1093/cercor/bhu028,24591526,"Cerebral cortex (New York, N.Y. : 1991)",general,unclassified,unspecified,,attentional control,,,N/A,,unspecified,
ShenhavA201323889930,"Shenhav, A; Botvinick, MM; Cohen, JD",2013,The expected value of control: an integrative theory of anterior cingulate cortex function.,10.1016/j.neuron.2013.07.007,23889930,Neuron,L3,theoretical,N/A (theoretical),,,,,N/A,,EVC,
FalkenbergLE201222411802,"Falkenberg, LE et al.",2012,Resting-state glutamate level in the anterior cingulate predicts blood-oxygen level-dependent response to cognitive control.,10.1073/pnas.1115628109,22411802,Proceedings of the National Academy of Sciences of the United States of America,L2,unclassified,unspecified,,cognitive control,,MRS glutamate,N/A,,metabolic,
SchulzKP201121515388,"Schulz, KP et al.",2011,Preparatory activity and connectivity in dorsal anterior cingulate cortex for cognitive control.,10.1016/j.neuroimage.2011.04.023,21515388,NeuroImage,L3,unclassified,unspecified,,cognitive control,,,N/A,,unspecified,
BakshiN201121306732,"Bakshi, N et al.",2011,Inefficiently increased anterior cingulate modulation of cortical systems during working memory in young offspring of schizophrenia patients.,10.1016/j.jpsychires.2011.01.002,21306732,Journal of psychiatric research,general,unclassified,unspecified,,working memory,,,N/A,,unspecified,
MulertC200717403530,"Mulert, C et al.",2007,Auditory cortex and anterior cingulate cortex sources of the early evoked gamma-band response: relationship to task difficulty and mental effort.,10.1016/j.neuropsychologia.2007.02.020,17403530,Neuropsychologia,general,experimental,unspecified,,,,,N/A,,unspecified,
XueAM202541256715,"Xue, AM et al.",2025,"Strong mnemonic prediction errors increase cognitive control, attention, and arousal.",10.1101/2025.10.02.680173,41256715,bioRxiv : the preprint server for biology,L4,unclassified,unspecified,,cognitive control,,,N/A,,predictive processing,
MechtenbergH202541044289,"Mechtenberg, H",2025,"Insights into effortful adaptation during speech perception: The role of dopamine, norepinephrine, and prediction error.",10.3758/s13415-025-01355-4,41044289,"Cognitive, affective & behavioral neuroscience",L4,unclassified,unspecified,,,,,N/A,,predictive processing,
SkabaniaJ202539909338,"Skałbania, J et al.",2025,Cognitive load reduces the reinforcement of ventral striatum by anterior insula in taste processing: An fMRI study on self-control.,10.1016/j.neuroscience.2025.02.001,39909338,Neuroscience,general,neuroimaging,unspecified,,,,fMRI,N/A,,unspecified,
PrunellCastaA202438665069,"Prunell-Castañé, A et al.",2024,"Allostatic load, adverse childhood experiences, executive functions, and BMI status in adolescents and young adults.",10.1002/ajhb.24089,38665069,American journal of human biology : the official journal of the Human Biology Council,L4,unclassified,unspecified,,,,,N/A,,interoceptive,
BishopC202340337447,"Bishop, C; Brown, T; Yu, ML",2023,The relationship between school-age children's interoceptive awareness and executive functioning: An exploratory study.,10.1177/03080226221128184,40337447,The British journal of occupational therapy,L4,unclassified,unspecified,,,,,N/A,,interoceptive,
AngiolettiL202236213612,"Angioletti, L; Balconi, M",2022,EEG brain oscillations are modulated by interoception in response to a synchronized motor vs. cognitive task.,10.3389/fnana.2022.991522,36213612,Frontiers in neuroanatomy,L4,neuroimaging,unspecified,,,,EEG,N/A,,interoceptive,
BaianoC202133404793,"Baiano, C et al.",2021,Linking perception of bodily states and cognitive control: the role of interoception in impulsive behaviour.,10.1007/s00221-020-06022-3,33404793,Experimental brain research,L4,unclassified,unspecified,,cognitive control,,,somatic,,interoceptive,
KaminskiJ202031521336,"Kaminski, J et al.",2020,Association of Cortical Glutamate and Working Memory Activation in Patients With Schizophrenia: A Multimodal Proton Magnetic Resonance Spectroscopy and Functional Magnetic Resonance Imaging Study.,10.1016/j.biopsych.2019.07.011,31521336,Biological psychiatry,L2,unclassified,unspecified,,working memory,,MRS; MRS glutamate,N/A,,metabolic,
OttinoGonzlezJ201930991312,"Ottino-González, J et al.",2019,Allostatic load and executive functions in overweight adults.,10.1016/j.psyneuen.2019.04.009,30991312,Psychoneuroendocrinology,L4,unclassified,unspecified,,,,,N/A,,interoceptive,
SethAK201628080966,"Seth, AK; Friston, KJ",2016,Active interoceptive inference and the emotional brain.,10.1098/rstb.2016.0007,28080966,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences",L4,unclassified,unspecified,,,,,N/A,,interoceptive,
StephanKE201627895566,"Stephan, KE et al.",2016,Allostatic Self-efficacy: A Metacognitive Theory of Dyshomeostasis-Induced Fatigue and Depression.,10.3389/fnhum.2016.00550,27895566,Frontiers in human neuroscience,L4,theoretical,N/A (theoretical),,,,,general fatigue,,interoceptive,
CathcartS201019817882,"Cathcart, S et al.",2010,Noxious inhibition of temporal summation is impaired in chronic tension-type headache.,10.1111/j.1526-4610.2009.01545.x,19817882,Headache,L5,unclassified,TTH/headache patients,,,,headache ratings,head-localized,,unspecified,
CathcartS200919499286,"Cathcart, S et al.",2009,Effect of mental stress on cold pain in chronic tension-type headache sufferers.,10.1007/s10194-009-0131-5,19499286,The journal of headache and pain,L5,unclassified,TTH/headache patients,,,,headache ratings,head-localized,,unspecified,
OttoARoss2017201863,"Otto, A. Ross; Daw, Nathaniel D.",2017,The opportunity cost of time modulates cognitive effort,10.1101/201863,,,L1,unclassified,unspecified,,,,,N/A,,opportunity cost,
SabatMagdalena202285201,"Sabat, Magdalena et al.",2022,"Cognitive load, fatigue and aversive simulator symptoms but not manipulated zeitgebers affect duration perception in virtual reality",10.1038/s41598-022-18520-1,,Scientific Reports,general,unclassified,unspecified,,,,,general fatigue; aversive signal,,unspecified,
MilyavskayaMarina20188npfx,"Milyavskaya, Marina et al.",2018,"More Effort, Less Fatigue: The Role of Interest in Increasing Effort and Reducing Mental Fatigue",10.31234/osf.io/8npfx,,,general,unclassified,unspecified,,,,,general fatigue,,unspecified,
unknown20253supp,,2025,Supplemental Material for Measuring Subjective Mental Effort as an Aversive and Enjoyable Phenomenon,10.1037/mot0000393.supp,,Motivation Science,general,unclassified,unspecified,,,,,aversive signal,,unspecified,
DeLucaJohn200530006,"DeLuca, John",2005,"Fatigue, Cognition, and Mental Effort",10.7551/mitpress/2967.003.0006,,Fatigue as a Window to the Brain,general,unclassified,unspecified,,,,,general fatigue,,unspecified,
LambregtsBritt202207043,"Lambregts, Britt et al.",2022,Effects of lipopolysaccharide-induced systemic inflammation and fatigue on cognitive effort expenditure,10.1016/j.bbi.2022.07.043,,"Brain, Behavior, and Immunity",general,unclassified,unspecified,,,,,general fatigue,,unspecified,
LambregtsBIHM202108108,"Lambregts, B.I.H.M. et al.",2021,Effects of lipopolysaccharide on cognitive effort expenditure and its relation to IL-6 and fatigue,10.1016/j.bbi.2021.08.108,,"Brain, Behavior, and Immunity",general,unclassified,unspecified,,,,,general fatigue,,unspecified,
YanXu2020110283,"Yan, Xu; Otto, A. Ross",2020,Cognitive effort investment and opportunity costs in strategic decision-making: An individual differences examination,10.1016/j.paid.2020.110283,,Personality and Individual Differences,L1,unclassified,unspecified,,,,,N/A,,opportunity cost,
WahlersJustinN2025000393,"Wahlers, Justin N.; Garrison, Katie E.; Hart, William P.",2025,Measuring subjective mental effort as an aversive and enjoyable phenomenon.,10.1037/mot0000393,,Motivation Science,general,unclassified,unspecified,,,,,aversive signal,,unspecified,
PattersonBD1981810395,"Patterson, BD et al.",1981,Metabolic Aspects of Chilling Resistance: Alanine Accumulation and Glutamate Depletion in Relation to Chilling Sensitivity in Passionfruit Species,10.1071/pp9810395,,Australian Journal of Plant Physiology,L2,unclassified,unspecified,,,,MRS glutamate,N/A,,metabolic,
JohnsonEricJ200810003,"Johnson, Eric J.",2008,"Man, my brain is tired: Linking depletion and cognitive effort in choice",10.1016/j.jcps.2007.10.003,,Journal of Consumer Psychology,general,unclassified,unspecified,,,,,general fatigue,,unspecified,
YeeDebbieM2020305482,"Yee, Debbie M. et al.",2020,Dorsal Anterior Cingulate Cortex Encodes the Integrated Incentive Motivational Value of Cognitive Task Performance,10.1101/2020.09.20.305482,,,L3,experimental,unspecified,,,,,motivational,,unspecified,
UmemotoAkina2017199687,"Umemoto, Akina; Inzlicht, Michael; Holroyd, Clay B.",2017,Electrophysiological indices of anterior cingulate cortex function reveal changing levels of cognitive effort and reward valuation that sustain task performance,10.1101/199687,,,general,experimental,unspecified,,,,,N/A,,unspecified,
AlexanderWilliam2020m9xh3,"Alexander, William; Womelsdorf, Thilo",2020,"Symmetric and Asymmetric Causal Neural Firing Interactions across Striatum, Anterior Cingulate and Prefrontal Cortex during Cognitive Control",10.31234/osf.io/m9xh3,,,general,unclassified,unspecified,,cognitive control,,,N/A,,unspecified,
MedallaMaria200901006,"Medalla, Maria; Barbas, Helen",2009,Synapses with Inhibitory Neurons Differentiate Anterior Cingulate from Dorsolateral Prefrontal Pathways Associated with Cognitive Control,10.1016/j.neuron.2009.01.006,,Neuron,general,unclassified,unspecified,,cognitive control,,,N/A,,unspecified,
CiceroDC200919731,"Cicero, D.C. et al.",2009,Prefrontal Cortex and Anterior Cingulate Cue-Related Activity during a Cognitive Control Task,10.1016/s1053-8119(09)71973-1,,NeuroImage,general,experimental,unspecified,,cognitive control,,,N/A,,unspecified,
MartinKevanA2009618026,"Martin, Kevan A",2009,Faculty Opinions recommendation of Synapses with inhibitory neurons differentiate anterior cingulate from dorsolateral prefrontal pathways associated with cognitive control.,10.3410/f.1157953.618026,,Faculty Opinions – Post-Publication Peer Review of the Biomedical Literature,general,unclassified,unspecified,,cognitive control,,,N/A,,unspecified,
MacDonaldAngus200009364,"MacDonald, Angus et al.",2000,Functional double dissociation of dorsolateral prefrontal cortex and anterior cingulate cortex in cognitive control,10.1016/s1053-8119(00)90936-4,,NeuroImage,general,unclassified,unspecified,,cognitive control,,,N/A,,unspecified,
VenturaBortCarlos2023tuzwp,"Ventura-Bort, Carlos; Weymar, Mathias",2023,Transcutaneous auricular vagus nerve stimulation modulates the processing of interoceptive prediction error signals and their role in allostatic regulation.,10.31234/osf.io/tuzwp,,,L4,unclassified,unspecified,,,,,N/A,,predictive processing; interoceptive,
VenturaBortCarlos202426613,"Ventura‐Bort, Carlos; Weymar, Mathias",2024,Transcutaneous auricular vagus nerve stimulation modulates the processing of interoceptive prediction error signals and their role in allostatic regulation,10.1002/hbm.26613,,Human Brain Mapping,L4,unclassified,unspecified,,,,,N/A,,predictive processing; interoceptive,
SedleyWilliam2024105536,"Sedley, William et al.",2024,Migraine as an allostatic reset triggered by unresolved interoceptive prediction errors,10.1016/j.neubiorev.2024.105536,,Neuroscience &amp; Biobehavioral Reviews,L4,unclassified,TTH/headache patients,,,,,N/A,,predictive processing; interoceptive,
ManganBrodieEdward2026n2wv1,"Mangan, Brodie Edward; Tomaz, Simone; Kourtis, Dimitrios",2026,The Missing Link: Validating the Working Memory Adaptive Fatigue with N-Back Difficulty Protocol for Active Cognitive Fatigue Induction,10.31234/osf.io/h4n2w_v1,,,general,unclassified,unspecified,,N-back; working memory,,,general fatigue,,unspecified,
WestfieldPaul2024004562,"Westfield, Paul",2024,"Working Memory Capacity, Mental Fatigue, and Human Performance",10.5220/0013152600004562,,Proceedings of the 2nd International Conference on Cognitive Aircraft Systems,general,unclassified,unspecified,,working memory,,,general fatigue,,unspecified,
EvaMass2022003622,"Eva, Massé; Olivier, Bartheye; Ludovic, Fabre",2022,How Does Cognitive Fatigue and Mental Workload Influence Alarm Detection in Flight Simulator? Classification of Electrophysiological Signatures with Explainable IA,10.5220/0011958100003622,,Proceedings of the 1st International Conference on Cognitive Aircraft Systems,general,unclassified,unspecified,,,,,general fatigue,,unspecified,
LoristMonicqueM200501018,"Lorist, Monicque M.; Boksem, Maarten A.S.; Ridderinkhof, K. Richard",2005,Impaired cognitive control and reduced cingulate activity during mental fatigue,10.1016/j.cogbrainres.2005.01.018,,Cognitive Brain Research,general,unclassified,unspecified,,cognitive control,,,general fatigue,,unspecified,
ObaidLiqa202442194,"Obaid, Liqa; Salem, Hind",2024,The effect of a psychological counselling approach on cognitive load and mental fatigue among young 110-meter hurdles athletes,10.37359/jope.v36(4)2024.2194,,Journal of Physical Education,general,unclassified,unspecified,,,,,general fatigue,,unspecified,
MathiasPessiglione2025ecf268,Mathias Pessiglione et al.,2025,Origins and consequences of cognitive fatigue.,10.1016/j.tics.2025.02.005,40169294,Trends in cognitive sciences,general,unclassified,unspecified,,,,,general fatigue,,unspecified,
MGailliot200893ef52,M. Gailliot,2008,Unlocking the Energy Dynamics of Executive Functioning: Linking Executive Functioning to Brain Glycogen,10.1111/j.1745-6924.2008.00077.x,26158946,Perspectives on Psychological Science,L2,unclassified,unspecified,,,,,N/A,,metabolic,
SFairclough2004b105f8,S. Fairclough; Kim Houston,2004,A metabolic measure of mental effort.,10.1016/J.BIOPSYCHO.2003.10.001,15041139,Biological psychology,general,unclassified,unspecified,,,,,N/A,,metabolic,
MEngstrm20150c3313,M. Engström et al.,2015,Evidence of Conjoint Activation of the Anterior Insular and Cingulate Cortices during Effortful Tasks,10.3389/fnhum.2014.01071,25674057,Frontiers in Human Neuroscience,general,experimental,unspecified,,,,,N/A,,unspecified,
TobiasOtto20141e3f01,Tobias Otto; F. Zijlstra; R. Goebel,2014,Neural correlates of mental effort evaluation--involvement of structures related to self-awareness.,10.1093/scan/nss136,23202660,Social cognitive and affective neuroscience,general,unclassified,unspecified,,,,,N/A,,unspecified,
