record_id,doi,pmid,title,authors,year,journal,layer_tag
AShenhav20179df8a4,10.1146/annurev-neuro-072116-031526,28375769,Toward a Rational and Mechanistic Account of Mental Effort.,A. Shenhav and Sebastian Musslick and Falk Lieder and W. Kool and T. Griffiths and J. Cohen and M. B,2017,Annual review of neuroscience,general
PravatE201626846988,10.1177/1352458515625806,26846988,Hyperconnectivity of the dorsolateral prefrontal cortex following mental effort in multiple sclerosis patients with cognitive fatigue.,"Pravatà, E and Zecca, C and Sestieri, C and Caulo, M and Riccitelli, GC and Rocca, MA and Filippi, M",2016,"Multiple sclerosis (Houndmills, Basingstoke, England)",general
TakasakiH201424743457,10.1097/PHM.0000000000000087,24743457,"A description of neck motor performance, neck pain, fatigue, and mental effort while driving in a sample with chronic whiplash-associated disorders.","Takasaki, H and Treleaven, J and Johnston, V and Van den Hoorn, W and Rakotonirainy, A and Jull, G",2014,American journal of physical medicine & rehabilitation,general
PrudkovPN201324304801,10.1017/S0140525X13001155,24304801,Mental effort and fatigue as consequences of monotony.,"Prudkov, PN",2013,The Behavioral and brain sciences,general
KurzbanR201324304775,10.1017/S0140525X12003196,24304775,An opportunity cost model of subjective effort and task performance.,"Kurzban, R and Duckworth, A and Kable, JW and Myers, J",2013,The Behavioral and brain sciences,L1
BelmontA200919574545,10.1177/1545968309340327,19574545,"Subjective fatigue, mental effort, and attention deficits after severe traumatic brain injury.","Belmont, A and Agar, N and Azouvi, P",2009,Neurorehabilitation and neural repair,general
BarakatA202541022693,10.1038/s41398-025-03554-6,41022693,Neurometabolic predictors of mental effort in the frontal cortex.,"Barakat, A and Brochard, J and Pessiglione, M and Godin, JP and Cuenoud, B and Xin, L and Clairis, N",2025,Translational psychiatry,general
MllerHE202336369737,10.1177/0271678X221139550,36369737,Considerations on gradual glutamate accumulation related to cognitive task performance.,"Möller, HE",2023,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,L2
WiehlerA202235961314,10.1016/j.cub.2022.07.010,35961314,A neuro-metabolic account of why daylong cognitive work alters the control of economic decisions.,"Wiehler, A and Branzoli, F and Adanyeguh, I and Mochel, F and Pessiglione, M",2022,Current biology : CB,L2
BaraniukJN202133440400,10.1371/journal.pone.0244116,33440400,Exercise modifies glutamate and other metabolic biomarkers in cerebrospinal fluid from Gulf War Illness and Myalgic encephalomyelitis / Chronic Fatigue Syndrome.,"Baraniuk, JN and Kern, G and Narayan, V and Cheema, A",2021,PloS one,L2
StrasserA202032688366,10.1038/s41386-020-0760-6,32688366,Glutamine-to-glutamate ratio in the nucleus accumbens predicts effort-based motivated performance in humans.,"Strasser, A and Luksys, G and Xin, L and Pessiglione, M and Gruetter, R and Sandi, C",2020,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,L2
LepannetierS201830271326,10.3389/fncel.2018.00318,30271326,Activation of TRPC1 Channel by Metabotropic Glutamate Receptor mGluR5 Modulates Synaptic Plasticity and Spatial Working Memory.,"Lepannetier, S and Gualdani, R and Tempesta, S and Schakman, O and Seghers, F and Kreis, A and Yerna",2018,Frontiers in cellular neuroscience,L2
PflibsenL201526332770,10.1002/jnr.23638,26332770,"Executive function deficits and glutamatergic protein alterations in a progressive 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine mouse model of Parkinson's disease.","Pflibsen, L and Stang, KA and Sconce, MD and Wilson, VB and Hood, RL and Meshul, CK and Mitchell, SH",2015,Journal of neuroscience research,L2
ChenX202641808199,10.1111/psyp.70269,41808199,The Distinct Roles of the Dorsolateral Prefrontal Cortex and Dorsal Anterior Cingulate Cortex in Cognitive Control: Evidence From Transcranial Temporal Interference Stimulation.,"Chen, X and Zeng, GQ and Ma, R and Li, N and Zhang, M and Zhang, X",2026,Psychophysiology,L3
SuJ202234907025,10.1523/JNEUROSCI.1283-21.2021,34907025,Task-Specific Neural Representations of Generalizable Metacognitive Control Signals in the Human Dorsal Anterior Cingulate Cortex.,"Su, J and Jia, W and Wan, X",2022,The Journal of neuroscience : the official journal of the Society for Neuroscience,L3
YeeDM202133707296,10.1523/JNEUROSCI.2550-20.2021,33707296,Dorsal Anterior Cingulate Cortex Encodes the Integrated Incentive Motivational Value of Cognitive Task Performance.,"Yee, DM and Crawford, JL and Lamichhane, B and Braver, TS",2021,The Journal of neuroscience : the official journal of the Society for Neuroscience,L3
MllerT201929738794,10.1016/j.neuropsychologia.2018.04.030,29738794,Motivational fatigue: A neurocognitive framework for the impact of effortful exertion on subsequent motivation.,"Müller, T and Apps, MAJ",2019,Neuropsychologia,general
KrauseUtzA201425389397,10.3389/fnhum.2014.00848,25389397,Amygdala and Dorsal Anterior Cingulate Connectivity during an Emotional Working Memory Task in Borderline Personality Disorder Patients with Interpersonal Trauma History.,"Krause-Utz, A and Elzinga, BM and Oei, NY and Paret, C and Niedtfeld, I and Spinhoven, P and Bohus, ",2014,Frontiers in human neuroscience,L3
ShenC201524591526,10.1093/cercor/bhu028,24591526,Anterior Cingulate Cortex Cells Identify Process-Specific Errors of Attentional Control Prior to Transient Prefrontal-Cingulate Inhibition.,"Shen, C and Ardid, S and Kaping, D and Westendorff, S and Everling, S and Womelsdorf, T",2015,"Cerebral cortex (New York, N.Y. : 1991)",general
ShenhavA201323889930,10.1016/j.neuron.2013.07.007,23889930,The expected value of control: an integrative theory of anterior cingulate cortex function.,"Shenhav, A and Botvinick, MM and Cohen, JD",2013,Neuron,L3
FalkenbergLE201222411802,10.1073/pnas.1115628109,22411802,Resting-state glutamate level in the anterior cingulate predicts blood-oxygen level-dependent response to cognitive control.,"Falkenberg, LE and Westerhausen, R and Specht, K and Hugdahl, K",2012,Proceedings of the National Academy of Sciences of the United States of America,L2
SchulzKP201121515388,10.1016/j.neuroimage.2011.04.023,21515388,Preparatory activity and connectivity in dorsal anterior cingulate cortex for cognitive control.,"Schulz, KP and Bédard, AV and Czarnecki, R and Fan, J",2011,NeuroImage,L3
BakshiN201121306732,10.1016/j.jpsychires.2011.01.002,21306732,Inefficiently increased anterior cingulate modulation of cortical systems during working memory in young offspring of schizophrenia patients.,"Bakshi, N and Pruitt, P and Radwan, J and Keshavan, MS and Rajan, U and Zajac-Benitez, C and Diwadka",2011,Journal of psychiatric research,general
MulertC200717403530,10.1016/j.neuropsychologia.2007.02.020,17403530,Auditory cortex and anterior cingulate cortex sources of the early evoked gamma-band response: relationship to task difficulty and mental effort.,"Mulert, C and Leicht, G and Pogarell, O and Mergl, R and Karch, S and Juckel, G and Möller, HJ and H",2007,Neuropsychologia,general
XueAM202541256715,10.1101/2025.10.02.680173,41256715,"Strong mnemonic prediction errors increase cognitive control, attention, and arousal.","Xue, AM and Jokhani, J and Norcia, AM and Wagner, AD",2025,bioRxiv : the preprint server for biology,L4
MechtenbergH202541044289,10.3758/s13415-025-01355-4,41044289,"Insights into effortful adaptation during speech perception: The role of dopamine, norepinephrine, and prediction error.","Mechtenberg, H",2025,"Cognitive, affective & behavioral neuroscience",L4
SkabaniaJ202539909338,10.1016/j.neuroscience.2025.02.001,39909338,Cognitive load reduces the reinforcement of ventral striatum by anterior insula in taste processing: An fMRI study on self-control.,"Skałbania, J and Tanajewski, Ł and Furtak, M and Rynkiewicz, A and Wypych, M",2025,Neuroscience,general
PrunellCastaA202438665069,10.1002/ajhb.24089,38665069,"Allostatic load, adverse childhood experiences, executive functions, and BMI status in adolescents and young adults.","Prunell-Castañé, A and Garolera, M and Ottino-González, J and Jurado, MÁ",2024,American journal of human biology : the official journal of the Human Biology Council,L4
BishopC202340337447,10.1177/03080226221128184,40337447,The relationship between school-age children's interoceptive awareness and executive functioning: An exploratory study.,"Bishop, C and Brown, T and Yu, ML",2023,The British journal of occupational therapy,L4
AngiolettiL202236213612,10.3389/fnana.2022.991522,36213612,EEG brain oscillations are modulated by interoception in response to a synchronized motor vs. cognitive task.,"Angioletti, L and Balconi, M",2022,Frontiers in neuroanatomy,L4
BaianoC202133404793,10.1007/s00221-020-06022-3,33404793,Linking perception of bodily states and cognitive control: the role of interoception in impulsive behaviour.,"Baiano, C and Santangelo, G and Senese, VP and Di Mauro, G and Lauro, G and Piacenti, M and Conson, ",2021,Experimental brain research,L4
KaminskiJ202031521336,10.1016/j.biopsych.2019.07.011,31521336,Association of Cortical Glutamate and Working Memory Activation in Patients With Schizophrenia: A Multimodal Proton Magnetic Resonance Spectroscopy and Functional Magnetic Resonance Imaging Study.,"Kaminski, J and Gleich, T and Fukuda, Y and Katthagen, T and Gallinat, J and Heinz, A and Schlagenha",2020,Biological psychiatry,L2
OttinoGonzlezJ201930991312,10.1016/j.psyneuen.2019.04.009,30991312,Allostatic load and executive functions in overweight adults.,"Ottino-González, J and Jurado, MA and García-García, I and Caldú, X and Prats-Soteras, X and Tor, E ",2019,Psychoneuroendocrinology,L4
SethAK201628080966,10.1098/rstb.2016.0007,28080966,Active interoceptive inference and the emotional brain.,"Seth, AK and Friston, KJ",2016,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences",L4
StephanKE201627895566,10.3389/fnhum.2016.00550,27895566,Allostatic Self-efficacy: A Metacognitive Theory of Dyshomeostasis-Induced Fatigue and Depression.,"Stephan, KE and Manjaly, ZM and Mathys, CD and Weber, LA and Paliwal, S and Gard, T and Tittgemeyer,",2016,Frontiers in human neuroscience,L4
CathcartS201019817882,10.1111/j.1526-4610.2009.01545.x,19817882,Noxious inhibition of temporal summation is impaired in chronic tension-type headache.,"Cathcart, S and Winefield, AH and Lushington, K and Rolan, P",2010,Headache,L5
CathcartS200919499286,10.1007/s10194-009-0131-5,19499286,Effect of mental stress on cold pain in chronic tension-type headache sufferers.,"Cathcart, S and Winefield, AH and Lushington, K and Rolan, P",2009,The journal of headache and pain,L5
OttoARoss2017201863,10.1101/201863,,The opportunity cost of time modulates cognitive effort,"Otto, A. Ross and Daw, Nathaniel D.",2017,,L1
SabatMagdalena202285201,10.1038/s41598-022-18520-1,,"Cognitive load, fatigue and aversive simulator symptoms but not manipulated zeitgebers affect duration perception in virtual reality","Sabat, Magdalena and Haładus, Bartosz and Klincewicz, Michał and Nalepa, Grzegorz J.",2022,Scientific Reports,general
MilyavskayaMarina20188npfx,10.31234/osf.io/8npfx,,"More Effort, Less Fatigue: The Role of Interest in Increasing Effort and Reducing Mental Fatigue","Milyavskaya, Marina and Galla, Brian and Inzlicht, Michael and Duckworth, Angela Lee",2018,,general
unknown20253supp,10.1037/mot0000393.supp,,Supplemental Material for Measuring Subjective Mental Effort as an Aversive and Enjoyable Phenomenon,,2025,Motivation Science,general
DeLucaJohn200530006,10.7551/mitpress/2967.003.0006,,"Fatigue, Cognition, and Mental Effort","DeLuca, John",2005,Fatigue as a Window to the Brain,general
LambregtsBritt202207043,10.1016/j.bbi.2022.07.043,,Effects of lipopolysaccharide-induced systemic inflammation and fatigue on cognitive effort expenditure,"Lambregts, Britt and Vassena, Eliana and Janssen, Aron and Pickkers, Peter and Kox, Matthijs and Aar",2022,"Brain, Behavior, and Immunity",general
LambregtsBIHM202108108,10.1016/j.bbi.2021.08.108,,Effects of lipopolysaccharide on cognitive effort expenditure and its relation to IL-6 and fatigue,"Lambregts, B.I.H.M. and Vassena, E. and Jansen, A. and Pickkers, P. and Kox, M. and van der Schaaf, ",2021,"Brain, Behavior, and Immunity",general
YanXu2020110283,10.1016/j.paid.2020.110283,,Cognitive effort investment and opportunity costs in strategic decision-making: An individual differences examination,"Yan, Xu and Otto, A. Ross",2020,Personality and Individual Differences,L1
WahlersJustinN2025000393,10.1037/mot0000393,,Measuring subjective mental effort as an aversive and enjoyable phenomenon.,"Wahlers, Justin N. and Garrison, Katie E. and Hart, William P.",2025,Motivation Science,general
PattersonBD1981810395,10.1071/pp9810395,,Metabolic Aspects of Chilling Resistance: Alanine Accumulation and Glutamate Depletion in Relation to Chilling Sensitivity in Passionfruit Species,"Patterson, BD and Pearson, JA and Payne, LA and Ferguson, IB",1981,Australian Journal of Plant Physiology,L2
JohnsonEricJ200810003,10.1016/j.jcps.2007.10.003,,"Man, my brain is tired: Linking depletion and cognitive effort in choice","Johnson, Eric J.",2008,Journal of Consumer Psychology,general
YeeDebbieM2020305482,10.1101/2020.09.20.305482,,Dorsal Anterior Cingulate Cortex Encodes the Integrated Incentive Motivational Value of Cognitive Task Performance,"Yee, Debbie M. and Crawford, Jennifer L. and Lamichhane, Bidhan and Braver, Todd S.",2020,,L3
UmemotoAkina2017199687,10.1101/199687,,Electrophysiological indices of anterior cingulate cortex function reveal changing levels of cognitive effort and reward valuation that sustain task performance,"Umemoto, Akina and Inzlicht, Michael and Holroyd, Clay B.",2017,,general
AlexanderWilliam2020m9xh3,10.31234/osf.io/m9xh3,,"Symmetric and Asymmetric Causal Neural Firing Interactions across Striatum, Anterior Cingulate and Prefrontal Cortex during Cognitive Control","Alexander, William and Womelsdorf, Thilo",2020,,general
MedallaMaria200901006,10.1016/j.neuron.2009.01.006,,Synapses with Inhibitory Neurons Differentiate Anterior Cingulate from Dorsolateral Prefrontal Pathways Associated with Cognitive Control,"Medalla, Maria and Barbas, Helen",2009,Neuron,general
CiceroDC200919731,10.1016/s1053-8119(09)71973-1,,Prefrontal Cortex and Anterior Cingulate Cue-Related Activity during a Cognitive Control Task,"Cicero, D.C. and Becker, T.M. and Docherty, A.R. and Martin, E.A. and Kerns, J.G.",2009,NeuroImage,general
MartinKevanA2009618026,10.3410/f.1157953.618026,,Faculty Opinions recommendation of Synapses with inhibitory neurons differentiate anterior cingulate from dorsolateral prefrontal pathways associated with cognitive control.,"Martin, Kevan A",2009,Faculty Opinions – Post-Publication Peer Review of the Biomedical Literature,general
MacDonaldAngus200009364,10.1016/s1053-8119(00)90936-4,,Functional double dissociation of dorsolateral prefrontal cortex and anterior cingulate cortex in cognitive control,"MacDonald, Angus and Cohen, Jonathan and Andrew Stenger, V. and Carter, Cameron",2000,NeuroImage,general
VenturaBortCarlos2023tuzwp,10.31234/osf.io/tuzwp,,Transcutaneous auricular vagus nerve stimulation modulates the processing of interoceptive prediction error signals and their role in allostatic regulation.,"Ventura-Bort, Carlos and Weymar, Mathias",2023,,L4
VenturaBortCarlos202426613,10.1002/hbm.26613,,Transcutaneous auricular vagus nerve stimulation modulates the processing of interoceptive prediction error signals and their role in allostatic regulation,"Ventura‐Bort, Carlos and Weymar, Mathias",2024,Human Brain Mapping,L4
SedleyWilliam2024105536,10.1016/j.neubiorev.2024.105536,,Migraine as an allostatic reset triggered by unresolved interoceptive prediction errors,"Sedley, William and Kumar, Sukhbinder and Jones, Siobhan and Levy, Andrew and Friston, Karl and Grif",2024,Neuroscience &amp; Biobehavioral Reviews,L4
ManganBrodieEdward2026n2wv1,10.31234/osf.io/h4n2w_v1,,The Missing Link: Validating the Working Memory Adaptive Fatigue with N-Back Difficulty Protocol for Active Cognitive Fatigue Induction,"Mangan, Brodie Edward and Tomaz, Simone and Kourtis, Dimitrios",2026,,general
WestfieldPaul2024004562,10.5220/0013152600004562,,"Working Memory Capacity, Mental Fatigue, and Human Performance","Westfield, Paul",2024,Proceedings of the 2nd International Conference on Cognitive Aircraft Systems,general
EvaMass2022003622,10.5220/0011958100003622,,How Does Cognitive Fatigue and Mental Workload Influence Alarm Detection in Flight Simulator? Classification of Electrophysiological Signatures with Explainable IA,"Eva, Massé and Olivier, Bartheye and Ludovic, Fabre",2022,Proceedings of the 1st International Conference on Cognitive Aircraft Systems,general
LoristMonicqueM200501018,10.1016/j.cogbrainres.2005.01.018,,Impaired cognitive control and reduced cingulate activity during mental fatigue,"Lorist, Monicque M. and Boksem, Maarten A.S. and Ridderinkhof, K. Richard",2005,Cognitive Brain Research,general
ObaidLiqa202442194,10.37359/jope.v36(4)2024.2194,,The effect of a psychological counselling approach on cognitive load and mental fatigue among young 110-meter hurdles athletes,"Obaid, Liqa and Salem, Hind",2024,Journal of Physical Education,general
MathiasPessiglione2025ecf268,10.1016/j.tics.2025.02.005,40169294,Origins and consequences of cognitive fatigue.,Mathias Pessiglione and Bastien Blain and A. Wiehler and Shruti Naik,2025,Trends in cognitive sciences,general
MGailliot200893ef52,10.1111/j.1745-6924.2008.00077.x,26158946,Unlocking the Energy Dynamics of Executive Functioning: Linking Executive Functioning to Brain Glycogen,M. Gailliot,2008,Perspectives on Psychological Science,L2
SFairclough2004b105f8,10.1016/J.BIOPSYCHO.2003.10.001,15041139,A metabolic measure of mental effort.,S. Fairclough and Kim Houston,2004,Biological psychology,general
MEngstrm20150c3313,10.3389/fnhum.2014.01071,25674057,Evidence of Conjoint Activation of the Anterior Insular and Cingulate Cortices during Effortful Tasks,M. Engström and T. Karlsson and A. Landtblom and Bud Craig,2015,Frontiers in Human Neuroscience,general
TobiasOtto20141e3f01,10.1093/scan/nss136,23202660,Neural correlates of mental effort evaluation--involvement of structures related to self-awareness.,Tobias Otto and F. Zijlstra and R. Goebel,2014,Social cognitive and affective neuroscience,general
