record_id,doi,pmid,title,is_oa,oa_status,best_oa_url,best_oa_pdf_url,host_type,license,updated
BambrahV201931522029,10.1016/j.concog.2019.102812,31522029,"Anticipated, experienced, and remembered subjective effort and discomfort on sustained attention versus working memory tasks.",False,closed,,,,,2025-05-22T18:42:22Z
OttoT201829912895,10.1371/journal.pone.0198204,29912895,Feeling the force: Changes in a left-lateralized network of brain areas under simulated workday conditions are reflected in subjective mental effort investment.,True,gold,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0198204&type=printable,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0198204&type=printable,publisher,cc-by,2026-02-12T01:03:26Z
OttoAR201929750987,10.1016/j.neuropsychologia.2018.05.006,29750987,The opportunity cost of time modulates cognitive effort.,False,closed,,,,,2025-05-22T18:42:22Z
BerardJA201829670491,10.7224/1537-2073.2016-106,29670491,A Longitudinal Evaluation of Cognitive Fatigue on a Task of Sustained Attention in Early Relapsing-Remitting Multiple Sclerosis.,True,bronze,https://ijmsc.org/doi/pdf/10.7224/1537-2073.2016-106,https://ijmsc.org/doi/pdf/10.7224/1537-2073.2016-106,publisher,None,2026-02-09T15:04:13Z
HsuCF201829432429,10.1371/journal.pone.0191479,29432429,Mental effort and discomfort: Testing the peak-end effect during a cognitively demanding task.,True,gold,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0191479&type=printable,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0191479&type=printable,publisher,cc-by,2026-03-10T18:46:37Z
HsuCF201728377736,10.3389/fpsyg.2017.00407,28377736,Differences in Perceived Mental Effort Required and Discomfort during a Working Memory Task between Individuals At-risk And Not At-risk for ADHD.,True,gold,https://www.frontiersin.org/articles/10.3389/fpsyg.2017.00407/pdf,https://www.frontiersin.org/articles/10.3389/fpsyg.2017.00407/pdf,publisher,cc-by,2026-02-09T15:04:13Z
AShenhav20179df8a4,10.1146/annurev-neuro-072116-031526,28375769,Toward a Rational and Mechanistic Account of Mental Effort.,True,bronze,https://www.annualreviews.org/doi/pdf/10.1146/annurev-neuro-072116-031526,https://www.annualreviews.org/doi/pdf/10.1146/annurev-neuro-072116-031526,publisher,None,2025-09-30T02:39:23Z
PravatE201626846988,10.1177/1352458515625806,26846988,Hyperconnectivity of the dorsolateral prefrontal cortex following mental effort in multiple sclerosis patients with cognitive fatigue.,False,closed,,,,,2025-05-22T18:42:22Z
TakasakiH201424743457,10.1097/PHM.0000000000000087,24743457,"A description of neck motor performance, neck pain, fatigue, and mental effort while driving in a sample with chronic whiplash-associated disorders.",False,closed,,,,,2025-05-22T18:42:22Z
PrudkovPN201324304801,10.1017/S0140525X13001155,24304801,Mental effort and fatigue as consequences of monotony.,False,closed,,,,,2025-05-22T18:42:22Z
KurzbanR201324304775,10.1017/S0140525X12003196,24304775,An opportunity cost model of subjective effort and task performance.,True,green,https://www.ncbi.nlm.nih.gov/pmc/articles/3856320,None,repository,None,2026-02-09T15:04:13Z
BelmontA200919574545,10.1177/1545968309340327,19574545,"Subjective fatigue, mental effort, and attention deficits after severe traumatic brain injury.",True,bronze,https://journals.sagepub.com/doi/pdf/10.1177/1545968309340327,https://journals.sagepub.com/doi/pdf/10.1177/1545968309340327,publisher,None,2025-09-30T02:39:23Z
BarakatA202541022693,10.1038/s41398-025-03554-6,41022693,Neurometabolic predictors of mental effort in the frontal cortex.,True,gold,https://www.nature.com/articles/s41398-025-03554-6.pdf,https://www.nature.com/articles/s41398-025-03554-6.pdf,publisher,cc-by,2026-03-20T23:48:44Z
MllerHE202336369737,10.1177/0271678X221139550,36369737,Considerations on gradual glutamate accumulation related to cognitive task performance.,True,hybrid,https://doi.org/10.1177/0271678x221139550,None,publisher,cc-by,2026-03-20T23:48:44Z
WiehlerA202235961314,10.1016/j.cub.2022.07.010,35961314,A neuro-metabolic account of why daylong cognitive work alters the control of economic decisions.,True,green,https://hal.sorbonne-universite.fr/hal-04534917,None,repository,other-oa,2026-02-09T15:04:13Z
BaraniukJN202133440400,10.1371/journal.pone.0244116,33440400,Exercise modifies glutamate and other metabolic biomarkers in cerebrospinal fluid from Gulf War Illness and Myalgic encephalomyelitis / Chronic Fatigue Syndrome.,True,gold,https://doi.org/10.1371/journal.pone.0244116,None,publisher,cc-by,2026-02-10T21:43:31Z
StrasserA202032688366,10.1038/s41386-020-0760-6,32688366,Glutamine-to-glutamate ratio in the nucleus accumbens predicts effort-based motivated performance in humans.,True,hybrid,https://www.nature.com/articles/s41386-020-0760-6.pdf,https://www.nature.com/articles/s41386-020-0760-6.pdf,publisher,cc-by,2026-03-20T23:48:44Z
LepannetierS201830271326,10.3389/fncel.2018.00318,30271326,Activation of TRPC1 Channel by Metabotropic Glutamate Receptor mGluR5 Modulates Synaptic Plasticity and Spatial Working Memory.,True,gold,https://www.frontiersin.org/articles/10.3389/fncel.2018.00318/pdf,https://www.frontiersin.org/articles/10.3389/fncel.2018.00318/pdf,publisher,cc-by,2026-03-20T23:48:44Z
PflibsenL201526332770,10.1002/jnr.23638,26332770,"Executive function deficits and glutamatergic protein alterations in a progressive 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine mouse model of Parkinson's disease.",False,closed,,,,,2026-03-20T23:48:44Z
ChenX202641808199,10.1111/psyp.70269,41808199,The Distinct Roles of the Dorsolateral Prefrontal Cortex and Dorsal Anterior Cingulate Cortex in Cognitive Control: Evidence From Transcranial Temporal Interference Stimulation.,False,closed,,,,,2026-03-12T12:36:34Z
SuJ202234907025,10.1523/JNEUROSCI.1283-21.2021,34907025,Task-Specific Neural Representations of Generalizable Metacognitive Control Signals in the Human Dorsal Anterior Cingulate Cortex.,True,bronze,https://www.jneurosci.org/content/jneuro/42/7/1275.full.pdf,https://www.jneurosci.org/content/jneuro/42/7/1275.full.pdf,publisher,None,2026-02-10T21:43:31Z
YeeDM202133707296,10.1523/JNEUROSCI.2550-20.2021,33707296,Dorsal Anterior Cingulate Cortex Encodes the Integrated Incentive Motivational Value of Cognitive Task Performance.,True,bronze,https://www.jneurosci.org/content/jneuro/41/16/3707.full.pdf,https://www.jneurosci.org/content/jneuro/41/16/3707.full.pdf,publisher,None,2026-02-10T21:43:31Z
MllerT201929738794,10.1016/j.neuropsychologia.2018.04.030,29738794,Motivational fatigue: A neurocognitive framework for the impact of effortful exertion on subsequent motivation.,False,closed,,,,,2025-08-17T18:46:03Z
KrauseUtzA201425389397,10.3389/fnhum.2014.00848,25389397,Amygdala and Dorsal Anterior Cingulate Connectivity during an Emotional Working Memory Task in Borderline Personality Disorder Patients with Interpersonal Trauma History.,True,gold,https://www.frontiersin.org/articles/10.3389/fnhum.2014.00848/pdf,https://www.frontiersin.org/articles/10.3389/fnhum.2014.00848/pdf,publisher,cc-by,2026-03-20T23:48:44Z
ShenC201524591526,10.1093/cercor/bhu028,24591526,Anterior Cingulate Cortex Cells Identify Process-Specific Errors of Attentional Control Prior to Transient Prefrontal-Cingulate Inhibition.,True,bronze,https://academic.oup.com/cercor/article-pdf/25/8/2213/14103821/bhu028.pdf,https://academic.oup.com/cercor/article-pdf/25/8/2213/14103821/bhu028.pdf,publisher,None,2026-03-20T23:48:44Z
ShenhavA201323889930,10.1016/j.neuron.2013.07.007,23889930,The expected value of control: an integrative theory of anterior cingulate cortex function.,True,bronze,http://www.cell.com/article/S0896627313006077/pdf,http://www.cell.com/article/S0896627313006077/pdf,publisher,None,2026-03-10T18:46:37Z
FalkenbergLE201222411802,10.1073/pnas.1115628109,22411802,Resting-state glutamate level in the anterior cingulate predicts blood-oxygen level-dependent response to cognitive control.,True,bronze,https://www.pnas.org/content/pnas/109/13/5069.full.pdf,https://www.pnas.org/content/pnas/109/13/5069.full.pdf,publisher,None,2025-05-23T16:06:59Z
SchulzKP201121515388,10.1016/j.neuroimage.2011.04.023,21515388,Preparatory activity and connectivity in dorsal anterior cingulate cortex for cognitive control.,True,green,https://www.ncbi.nlm.nih.gov/pmc/articles/3101271,None,repository,None,2026-02-10T21:43:31Z
BakshiN201121306732,10.1016/j.jpsychires.2011.01.002,21306732,Inefficiently increased anterior cingulate modulation of cortical systems during working memory in young offspring of schizophrenia patients.,False,closed,,,,,2025-05-22T18:42:22Z
MulertC200717403530,10.1016/j.neuropsychologia.2007.02.020,17403530,Auditory cortex and anterior cingulate cortex sources of the early evoked gamma-band response: relationship to task difficulty and mental effort.,False,closed,,,,,2025-05-22T18:42:22Z
XueAM202541256715,10.1101/2025.10.02.680173,41256715,"Strong mnemonic prediction errors increase cognitive control, attention, and arousal.",True,gold,https://www.biorxiv.org/content/biorxiv/early/2025/10/03/2025.10.02.680173.full.pdf,https://www.biorxiv.org/content/biorxiv/early/2025/10/03/2025.10.02.680173.full.pdf,None,cc-by-nc-nd,2026-01-18T01:04:10Z
MechtenbergH202541044289,10.3758/s13415-025-01355-4,41044289,"Insights into effortful adaptation during speech perception: The role of dopamine, norepinephrine, and prediction error.",False,closed,,,,,2025-10-06T00:09:52Z
SkabaniaJ202539909338,10.1016/j.neuroscience.2025.02.001,39909338,Cognitive load reduces the reinforcement of ventral striatum by anterior insula in taste processing: An fMRI study on self-control.,False,closed,,,,,2025-08-17T18:46:03Z
PrunellCastaA202438665069,10.1002/ajhb.24089,38665069,"Allostatic load, adverse childhood experiences, executive functions, and BMI status in adolescents and young adults.",True,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ajhb.24089,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ajhb.24089,publisher,cc-by,2025-12-27T00:44:22Z
BishopC202340337447,10.1177/03080226221128184,40337447,The relationship between school-age children's interoceptive awareness and executive functioning: An exploratory study.,False,closed,,,,,2025-05-23T16:06:59Z
AngiolettiL202236213612,10.3389/fnana.2022.991522,36213612,EEG brain oscillations are modulated by interoception in response to a synchronized motor vs. cognitive task.,True,gold,https://www.frontiersin.org/articles/10.3389/fnana.2022.991522/pdf,https://www.frontiersin.org/articles/10.3389/fnana.2022.991522/pdf,publisher,cc-by,2026-03-20T23:48:44Z
BaianoC202133404793,10.1007/s00221-020-06022-3,33404793,Linking perception of bodily states and cognitive control: the role of interoception in impulsive behaviour.,False,closed,,,,,2025-05-22T18:42:22Z
KaminskiJ202031521336,10.1016/j.biopsych.2019.07.011,31521336,Association of Cortical Glutamate and Working Memory Activation in Patients With Schizophrenia: A Multimodal Proton Magnetic Resonance Spectroscopy and Functional Magnetic Resonance Imaging Study.,False,closed,,,,,2025-05-22T18:42:22Z
OttinoGonzlezJ201930991312,10.1016/j.psyneuen.2019.04.009,30991312,Allostatic load and executive functions in overweight adults.,False,closed,,,,,2025-08-17T18:46:03Z
SethAK201628080966,10.1098/rstb.2016.0007,28080966,Active interoceptive inference and the emotional brain.,True,bronze,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2016.0007,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2016.0007,publisher,None,2026-03-20T23:48:44Z
StephanKE201627895566,10.3389/fnhum.2016.00550,27895566,Allostatic Self-efficacy: A Metacognitive Theory of Dyshomeostasis-Induced Fatigue and Depression.,True,gold,https://www.frontiersin.org/articles/10.3389/fnhum.2016.00550/pdf,https://www.frontiersin.org/articles/10.3389/fnhum.2016.00550/pdf,publisher,cc-by,2026-03-20T23:48:44Z
CathcartS201019817882,10.1111/j.1526-4610.2009.01545.x,19817882,Noxious inhibition of temporal summation is impaired in chronic tension-type headache.,False,closed,,,,,2025-05-22T18:42:22Z
CathcartS200919499286,10.1007/s10194-009-0131-5,19499286,Effect of mental stress on cold pain in chronic tension-type headache sufferers.,True,hybrid,https://thejournalofheadacheandpain.biomedcentral.com/counter/pdf/10.1007/s10194-009-0131-5,https://thejournalofheadacheandpain.biomedcentral.com/counter/pdf/10.1007/s10194-009-0131-5,publisher,cc-by-nc,2026-02-10T21:43:31Z
OttoARoss2017201863,10.1101/201863,,The opportunity cost of time modulates cognitive effort,True,gold,https://www.biorxiv.org/content/biorxiv/early/2018/05/03/201863.full.pdf,https://www.biorxiv.org/content/biorxiv/early/2018/05/03/201863.full.pdf,None,cc-by-nc-nd,2026-01-17T01:14:18Z
SabatMagdalena202285201,10.1038/s41598-022-18520-1,,"Cognitive load, fatigue and aversive simulator symptoms but not manipulated zeitgebers affect duration perception in virtual reality",True,gold,https://www.nature.com/articles/s41598-022-18520-1.pdf,https://www.nature.com/articles/s41598-022-18520-1.pdf,publisher,cc-by,2026-03-20T23:48:44Z
MilyavskayaMarina20188npfx,10.31234/osf.io/8npfx,,"More Effort, Less Fatigue: The Role of Interest in Increasing Effort and Reducing Mental Fatigue",True,gold,https://doi.org/10.31234/osf.io/8npfx,None,None,cc-by,2026-02-09T15:04:13Z
unknown20253supp,10.1037/mot0000393.supp,,Supplemental Material for Measuring Subjective Mental Effort as an Aversive and Enjoyable Phenomenon,False,closed,,,,,2025-11-01T00:45:09Z
DeLucaJohn200530006,10.7551/mitpress/2967.003.0006,,"Fatigue, Cognition, and Mental Effort",False,closed,,,,,2025-10-27T16:35:26Z
LambregtsBritt202207043,10.1016/j.bbi.2022.07.043,,Effects of lipopolysaccharide-induced systemic inflammation and fatigue on cognitive effort expenditure,False,closed,,,,,2025-05-22T18:42:22Z
LambregtsBIHM202108108,10.1016/j.bbi.2021.08.108,,Effects of lipopolysaccharide on cognitive effort expenditure and its relation to IL-6 and fatigue,False,closed,,,,,2025-05-22T18:42:22Z
YanXu2020110283,10.1016/j.paid.2020.110283,,Cognitive effort investment and opportunity costs in strategic decision-making: An individual differences examination,False,closed,,,,,2025-11-06T05:33:38Z
WahlersJustinN2025000393,10.1037/mot0000393,,Measuring subjective mental effort as an aversive and enjoyable phenomenon.,False,closed,,,,,2025-08-04T14:10:34Z
PattersonBD1981810395,10.1071/pp9810395,,Metabolic Aspects of Chilling Resistance: Alanine Accumulation and Glutamate Depletion in Relation to Chilling Sensitivity in Passionfruit Species,False,closed,,,,,2025-11-20T00:45:05Z
JohnsonEricJ200810003,10.1016/j.jcps.2007.10.003,,"Man, my brain is tired: Linking depletion and cognitive effort in choice",True,green,https://autopapers.ssrn.com/sol3/papers.cfm?abstract_id=1323474,None,repository,None,2025-10-23T16:56:47Z
YeeDebbieM2020305482,10.1101/2020.09.20.305482,,Dorsal Anterior Cingulate Cortex Encodes the Integrated Incentive Motivational Value of Cognitive Task Performance,True,gold,https://www.biorxiv.org/content/biorxiv/early/2021/01/01/2020.09.20.305482.full.pdf,https://www.biorxiv.org/content/biorxiv/early/2021/01/01/2020.09.20.305482.full.pdf,None,cc-by-nd,2026-01-18T01:04:10Z
UmemotoAkina2017199687,10.1101/199687,,Electrophysiological indices of anterior cingulate cortex function reveal changing levels of cognitive effort and reward valuation that sustain task performance,True,gold,https://www.biorxiv.org/content/biorxiv/early/2017/10/07/199687.full.pdf,https://www.biorxiv.org/content/biorxiv/early/2017/10/07/199687.full.pdf,None,cc-by-nc-nd,2026-01-17T01:14:18Z
AlexanderWilliam2020m9xh3,10.31234/osf.io/m9xh3,,"Symmetric and Asymmetric Causal Neural Firing Interactions across Striatum, Anterior Cingulate and Prefrontal Cortex during Cognitive Control",True,gold,https://doi.org/10.31234/osf.io/m9xh3,None,None,cc-by,2026-02-09T15:04:13Z
MedallaMaria200901006,10.1016/j.neuron.2009.01.006,,Synapses with Inhibitory Neurons Differentiate Anterior Cingulate from Dorsolateral Prefrontal Pathways Associated with Cognitive Control,True,green,https://www.ncbi.nlm.nih.gov/pmc/articles/2804928,None,repository,None,2026-02-10T21:43:31Z
CiceroDC200919731,10.1016/s1053-8119(09)71973-1,,Prefrontal Cortex and Anterior Cingulate Cue-Related Activity during a Cognitive Control Task,False,closed,,,,,2025-05-29T00:05:54Z
MartinKevanA2009618026,10.3410/f.1157953.618026,,Faculty Opinions recommendation of Synapses with inhibitory neurons differentiate anterior cingulate from dorsolateral prefrontal pathways associated with cognitive control.,False,closed,,,,,2025-05-22T18:42:22Z
MacDonaldAngus200009364,10.1016/s1053-8119(00)90936-4,,Functional double dissociation of dorsolateral prefrontal cortex and anterior cingulate cortex in cognitive control,False,closed,,,,,2025-05-29T00:05:54Z
VenturaBortCarlos2023tuzwp,10.31234/osf.io/tuzwp,,Transcutaneous auricular vagus nerve stimulation modulates the processing of interoceptive prediction error signals and their role in allostatic regulation.,True,gold,https://psyarxiv.com/tuzwp/download,https://psyarxiv.com/tuzwp/download,None,cc-by,2026-02-09T15:04:13Z
VenturaBortCarlos202426613,10.1002/hbm.26613,,Transcutaneous auricular vagus nerve stimulation modulates the processing of interoceptive prediction error signals and their role in allostatic regulation,True,gold,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/hbm.26613,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/hbm.26613,publisher,cc-by-nc,2026-02-10T21:43:31Z
SedleyWilliam2024105536,10.1016/j.neubiorev.2024.105536,,Migraine as an allostatic reset triggered by unresolved interoceptive prediction errors,True,hybrid,https://doi.org/10.1016/j.neubiorev.2024.105536,None,publisher,cc-by,2025-08-04T14:10:34Z
ManganBrodieEdward2026n2wv1,10.31234/osf.io/h4n2w_v1,,The Missing Link: Validating the Working Memory Adaptive Fatigue with N-Back Difficulty Protocol for Active Cognitive Fatigue Induction,True,gold,https://doi.org/10.31234/osf.io/h4n2w_v1,None,None,cc-by,2026-02-22T08:08:42Z
WestfieldPaul2024004562,10.5220/0013152600004562,,"Working Memory Capacity, Mental Fatigue, and Human Performance",True,gold,https://doi.org/10.5220/0013152600004562,None,None,cc-by-nc-nd,2025-12-21T03:41:08Z
EvaMass2022003622,10.5220/0011958100003622,,How Does Cognitive Fatigue and Mental Workload Influence Alarm Detection in Flight Simulator? Classification of Electrophysiological Signatures with Explainable IA,True,gold,http://dx.doi.org/10.5220/0011958100003622,None,None,cc-by-nc-nd,2025-12-26T00:49:41Z
LoristMonicqueM200501018,10.1016/j.cogbrainres.2005.01.018,,Impaired cognitive control and reduced cingulate activity during mental fatigue,False,closed,,,,,2025-05-22T18:42:22Z
ObaidLiqa202442194,10.37359/jope.v36(4)2024.2194,,The effect of a psychological counselling approach on cognitive load and mental fatigue among young 110-meter hurdles athletes,True,gold,https://www.jcope.uobaghdad.edu.iq/index.php/jcope/article/download/2194/1619,https://www.jcope.uobaghdad.edu.iq/index.php/jcope/article/download/2194/1619,publisher,cc-by,2025-09-14T03:39:29Z
MathiasPessiglione2025ecf268,10.1016/j.tics.2025.02.005,40169294,Origins and consequences of cognitive fatigue.,False,closed,,,,,2025-08-17T18:46:03Z
MGailliot200893ef52,10.1111/j.1745-6924.2008.00077.x,26158946,Unlocking the Energy Dynamics of Executive Functioning: Linking Executive Functioning to Brain Glycogen,False,closed,,,,,2025-05-22T18:42:22Z
SFairclough2004b105f8,10.1016/J.BIOPSYCHO.2003.10.001,15041139,A metabolic measure of mental effort.,False,closed,,,,,2025-08-17T18:46:03Z
MEngstrm20150c3313,10.3389/fnhum.2014.01071,25674057,Evidence of Conjoint Activation of the Anterior Insular and Cingulate Cortices during Effortful Tasks,True,gold,https://www.frontiersin.org/articles/10.3389/fnhum.2014.01071/pdf,https://www.frontiersin.org/articles/10.3389/fnhum.2014.01071/pdf,publisher,cc-by,2026-03-20T23:48:44Z
TobiasOtto20141e3f01,10.1093/scan/nss136,23202660,Neural correlates of mental effort evaluation--involvement of structures related to self-awareness.,True,bronze,https://academic.oup.com/scan/article-pdf/9/3/307/27108383/nss136.pdf,https://academic.oup.com/scan/article-pdf/9/3/307/27108383/nss136.pdf,publisher,None,2026-03-20T23:48:44Z
