record_id,title,year,doi,pmid,authors,decision,layer_tag,reason
GoeppT202540888365,A New Incremental Cycling Cognitive-Motor Dual-Task Test to Assess Simultaneous Sustained Attention and Neuromuscular Fatigue in Trained Athletes.,2025,10.1111/sms.70122,40888365,"Goepp, T and Hayes, M and Hot, P and Rupp, T",include,general,effort:sustained attention; outcome:fatigue
EmbreyJR202540866279,Are metabolic costs needed to explain cognitive fatigue?,2025,10.1016/j.tics.2025.08.001,40866279,"Embrey, JR and Inzlicht, M",exclude,,insufficient effort+outcome overlap
LiuQ202540863768,The Impact of Mental Fatigue on the Accuracy of Penalty Kicks in College Soccer Players.,2025,10.3390/sports13080259,40863768,"Liu, Q and Huang, R and Liu, Z and Sun, C and Qi, L and Cicchella, A",exclude,,insufficient effort+outcome overlap
BuckL202540858902,An experimental study on the effect of symptom expectations on mental fatigue and motivation in people with primary biliary cholangitis.,2025,10.1038/s41598-025-16191-2,40858902,"Buck, L and Herzberg, J and Lenaert, B and Löwe, B and Hartl, J and Schramm, C a",exclude,,insufficient effort+outcome overlap
AndrN202540606889,Brain endurance training as a strategy for reducing mental fatigue.,2025,10.3389/fpsyg.2025.1616171,40606889,"André, N and Audiffren, M and Englert, C",exclude,,insufficient effort+outcome overlap
RenL202540563713,A New Method for Inducing Mental Fatigue: A High Mental Workload Task Paradigm Based on Complex Cognitive Abilities and Time Pressure.,2025,10.3390/brainsci15060541,40563713,"Ren, L and Wu, L and Feng, T and Liu, X",include,general,effort:mental workload; outcome:fatigue
WeilerH202540497106,Increasing ecological validity in mental fatigue research-A Footbonaut study.,2025,10.3389/fpsyg.2025.1586944,40497106,"Weiler, H and Ennigkeit, F and Spielmann, J and Englert, C",exclude,,insufficient effort+outcome overlap
CostaYP202540474216,"Effect of caffeine on attack decision-making in trained beach volleyball players following prolonged cognitive effort induced by social media use: a randomized, single-blind, crossover pilot study.",2025,10.1186/s13102-024-01052-8,40474216,"Costa, YP and Lopes-da-Silva, BS and Fonseca, FS and Albuquerque, M and Batista,",exclude,,insufficient effort+outcome overlap
DaneshgarPironneauS202540455575,Endurance Athletes Are More Resistant to Mental Fatigue Than Nonathletes.,2025,10.1080/02701367.2025.2501972,40455575,"Daneshgar-Pironneau, S and Audiffren, M and Lorcery, A and Benraïss, A and Mirab",exclude,,insufficient effort+outcome overlap
StewardG202540345833,The Neurobiology of Cognitive Fatigue and Its Influence on Effort-Based Choice.,2025,10.1523/JNEUROSCI.1612-24.2025,40345833,"Steward, G and Looi, V and Chib, VS",exclude,,insufficient effort+outcome overlap
deLimaJuniorD202540271358,Effects of mental fatigue on perception of effort and performance in national level swimmers.,2025,10.3389/fpsyg.2025.1520156,40271358,"de Lima-Junior, D and Caporaso, G and Cortesi, M and Fortes, LS and Marcora, SM",exclude,,insufficient effort+outcome overlap
SilvaCMAFD202540082774,Does Mental Fatigue Affect Physical Performance in Wheelchair Basketball Players? An Individualized Cognitive Load Approach.,2025,10.1177/00315125251320422,40082774,"Silva, CMAFD and Penna, EM and Coelho, TDS and Silva Neto, CAFD and de Mello, MT",include,general,effort:cognitive load; outcome:fatigue
HolgadoD202539946312,Individualized Cognitive Effort to Failure Does Not Affect Subsequent Strenuous Physical Performance.,2025,10.1249/MSS.0000000000003669,39946312,"Holgado, D and Cailleux, A and Ruggeri, P and Martarelli, C and Bekinschtein, TA",exclude,,insufficient effort+outcome overlap
BurlesonAM202539840813,The time course of cognitive effort during disrupted speech.,2025,10.1177/17470218251316797,39840813,"Burleson, AM and Souza, PE",exclude,,insufficient effort+outcome overlap
GreenhouseTucknottA202539730065,Perceived fatigue does not alter effort-based decision making but does undermine confidence in the ability to perform physical actions.,2025,10.1016/j.physbeh.2024.114792,39730065,"Greenhouse-Tucknott, A and Wrightson, JG and Berens, S and Dekerle, J and Harris",exclude,,insufficient effort+outcome overlap
NiemczakCE202539667116,Neuroimaging markers of cognitive fatigue in individuals with post-acute sequelae of SARS-CoV-2 infection.,2025,10.1016/j.bandc.2024.106254,39667116,"Niemczak, CE and Ford, JC and Roth, RM and Leigh, SM and Parsonnet, J and Martin",exclude,,insufficient effort+outcome overlap
PtzS202539477348,Physiological Predictors of Operator Performance: The Role of Mental Effort and Its Link to Task Performance.,2025,10.1177/00187208241296830,39477348,"Pütz, S and Mertens, A and Chuang, LL and Nitsch, V",exclude,,insufficient effort+outcome overlap
BenkiraneO202439449315,Sleep Fragmentation Modulates the Neurophysiological Correlates of Cognitive Fatigue.,2024,10.3390/clockssleep6040041,39449315,"Benkirane, O and Simor, P and Mairesse, O and Peigneux, P",exclude,,insufficient effort+outcome overlap
WahabM202439440018,Cognitive effort increases the intensity of rewards.,2024,10.1093/pnasnexus/pgae432,39440018,"Wahab, M and Mead, NL and Desmercieres, S and Lardeux, V and Dugast, E and Baume",exclude,,insufficient effort+outcome overlap
PraterFaheyM202539413448,Motivational context determines the impact of aversive outcomes on mental effort allocation.,2025,10.1016/j.cognition.2024.105973,39413448,"Prater Fahey, M and Yee, DM and Leng, X and Tarlow, M and Shenhav, A",include,general,seed paper
PaulettiC202439199495,Overt and Covert Effects of Mental Fatigue on Attention Networks: Evidence from Event-Related Potentials during the Attention Network Test.,2024,10.3390/brainsci14080803,39199495,"Pauletti, C and Mannarelli, D and Fattapposta, F",exclude,,insufficient effort+outcome overlap
FortesLS202439189630,High Cognitive Effort Prior to Velocity-Based Training Sessions Reduces Rate of Force Development but Not Maximum Strength Gains in Untrained Male Adults.,2024,10.1111/sms.14717,39189630,"Fortes, LS and de Lima-Júnior, D and Boullosa, D and Roelands, B and Ferreira, M",exclude,,insufficient effort+outcome overlap
SchampheleerE202439122241,Mental Fatigue in Sport-From Impaired Performance to Increased Injury Risk.,2024,10.1123/ijspp.2023-0527,39122241,"Schampheleer, E and Roelands, B",exclude,,insufficient effort+outcome overlap
DesjardinsS202539102161,Context effects in cognitive effort evaluation.,2025,10.3758/s13423-024-02547-8,39102161,"Desjardins, S and Tang, R and Yip, S and Roy, M and Otto, AR",exclude,,insufficient effort+outcome overlap
DavidL202439101924,The unpleasantness of thinking: A meta-analytic review of the association between mental effort and negative affect.,2024,10.1037/bul0000443,39101924,"David, L and Vassena, E and Bijleveld, E",exclude,,insufficient effort+outcome overlap
GohHT202538934610,Fatigue Is Associated With Perceived Effort and 2-Dimensional Reach Performance After Stroke.,2025,10.1097/NPT.0000000000000483,38934610,"Goh, HT and Stewart, J and Becker, K",exclude,,insufficient effort+outcome overlap
WebsterCS202438811299,Relationship between mental effort and workload during routine anaesthesia.,2024,10.1016/j.bja.2024.04.048,38811299,"Webster, CS and Huang, L and Coomber, T and Grieve, ROS and Kruger, CJ and Henni",exclude,,insufficient effort+outcome overlap
AlgermissenJ202438773022,Pupil dilation reflects effortful action invigoration in overcoming aversive Pavlovian biases.,2024,10.3758/s13415-024-01191-y,38773022,"Algermissen, J and den Ouden, HEM",include,general,effort:effortful; outcome:aversive
RandezA202438756501,The roles of intrinsic motivation and capability-related factors in cognitive effort-based decision-making.,2024,10.3389/fpsyg.2024.1303262,38756501,"Randez, A and Hélie, S",exclude,,insufficient effort+outcome overlap
LorceryA202438734281,Engagement of mental effort in response to mental fatigue: A psychophysiological analysis.,2024,10.1016/j.psychsport.2024.102660,38734281,"Lorcery, A and André, N and Benraïss, A and Pingault, M and Mirabelli, F and Aud",include,general,effort:mental effort; outcome:fatigue
GilbertSJ202438583321,Cognitive offloading is value-based decision making: Modelling cognitive effort and the expected value of memory.,2024,10.1016/j.cognition.2024.105783,38583321,"Gilbert, SJ",exclude,,insufficient effort+outcome overlap
WolpeN202438309319,What Is Mental Effort: A Clinical Perspective.,2024,10.1016/j.biopsych.2024.01.022,38309319,"Wolpe, N and Holton, R and Fletcher, PC",exclude,,insufficient effort+outcome overlap
DaubBD202438090974,The Relationship Between Mental Fatigue and Shooting Performance Over the Course of a National Collegiate Athletic Association Division I Basketball Season.,2024,10.1519/JSC.0000000000004624,38090974,"Daub, BD and McLean, BD and Heishman, AD and Peak, KM and Coutts, AJ",exclude,,insufficient effort+outcome overlap
BalconiM202337998665,What Is the Relationship between Metacognition and Mental Effort in Executive Functions? The Contribution of Neurophysiology.,2023,10.3390/bs13110918,37998665,"Balconi, M and Acconito, C and Allegretta, RA and Crivelli, D",exclude,,insufficient effort+outcome overlap
MahaliaPraterFahey2023883b4f,Motivational context determines the impact of aversive outcomes on mental effort allocation,2023,10.1101/2023.10.27.564461,37961466,Mahalia Prater Fahey and Debbie M. Yee and X. Leng and Maisy Tarlow and A. Shenh,include,general,seed paper
ZernaJ202337945572,Need for Cognition is associated with a preference for higher task load in effort discounting.,2023,10.1038/s41598-023-44349-3,37945572,"Zerna, J and Scheffel, C and Kührt, C and Strobel, A",exclude,,insufficient effort+outcome overlap
BijleveldE202337845173,The ebb and flow of cognitive fatigue.,2023,10.1016/j.tics.2023.09.007,37845173,"Bijleveld, E",exclude,,insufficient effort+outcome overlap
BanaeiP202337777571,Concomitant dual-site tDCS and dark chocolate improve cognitive and endurance performance following cognitive effort under hypoxia: a randomized controlled trial.,2023,10.1038/s41598-023-43568-y,37777571,"Banaei, P and Tadibi, V and Amiri, E and Machado, DGDS",exclude,,insufficient effort+outcome overlap
FerreiraMEC202437678643,Prolonged cognitive effort impairs inhibitory control and causes significant mental fatigue after an endurance session with an auditive distractor in professional soccer players.,2024,10.1016/j.psychsport.2023.102533,37678643,"Ferreira, MEC and Lima-Junior, D and Faro, H and Roelands, B and Fortes, LS",include,general,effort:cognitive effort; outcome:fatigue
MatthewsJ202337647742,Computational mechanisms underlying the dynamics of physical and cognitive fatigue.,2023,10.1016/j.cognition.2023.105603,37647742,"Matthews, J and Pisauro, MA and Jurgelis, M and Müller, T and Vassena, E and Cho",exclude,,insufficient effort+outcome overlap
SayalC202337616076,Policy abstraction as a predictor of cognitive effort avoidance.,2023,10.1037/xge0001449,37616076,"Sayalı, C and Rubin-McGregor, J and Badre, D",exclude,,insufficient effort+outcome overlap
GavelinHM202337598882,"Mental fatigue, cognitive performance and autonomic response following sustained mental activity in clinical burnout.",2023,10.1016/j.biopsycho.2023.108661,37598882,"Gavelin, HM and Neely, AS and Aronsson, I and Josefsson, M and Andersson, L",exclude,,insufficient effort+outcome overlap
AudiffrenM202337425012,Editorial: Effort-based decision-making and cognitive fatigue.,2023,10.3389/fnins.2023.1230022,37425012,"Audiffren, M and Capa, RL and Silvestrini, N and Steele, J and Ravel, S and Page",exclude,,insufficient effort+outcome overlap
FerreiraMEC202337394879,Head-to-head opponent mitigates mental fatigue effects during a 20-km time trial in well-trained cyclists.,2023,10.1111/sms.14445,37394879,"Ferreira, MEC and Carmo, EC and Frota-Júnior, LS and de Sousa Fortes, L",exclude,,insufficient effort+outcome overlap
WjcikN202437300497,"Working hard but not tired? The influence of task valuation on mental fatigue, effort investment, and task performance.",2024,10.1177/17470218231183708,37300497,"Wójcik, N and Nęcka, E",exclude,,insufficient effort+outcome overlap
LambregtsBIHM202337257522,Fatigue during acute systemic inflammation is associated with reduced mental effort expenditure while task accuracy is preserved.,2023,10.1016/j.bbi.2023.05.013,37257522,"Lambregts, BIHM and Vassena, E and Jansen, A and Stremmelaar, DE and Pickkers, P",include,general,effort:mental effort; outcome:fatigue
AhnJ202337256338,A single bout of passive exercise mitigates a mental fatigue-induced inhibitory control deficit.,2023,10.1007/s00221-023-06640-7,37256338,"Ahn, J and Tari, B and Morava, A and Prapavessis, H and Heath, M",exclude,,insufficient effort+outcome overlap
HolgadoD202337227196,Individualized Mental Fatigue Does Not Impact Neuromuscular Function and Exercise Performance.,2023,10.1249/MSS.0000000000003221,37227196,"Holgado, D and Jolidon, L and Borragán, G and Sanabria, D and Place, N",exclude,,insufficient effort+outcome overlap
EmbreyJR202336931050,Is all mental effort equal? The role of cognitive demand-type on effort avoidance.,2023,10.1016/j.cognition.2023.105440,36931050,"Embrey, JR and Donkin, C and Newell, BR",exclude,,insufficient effort+outcome overlap
SayalC202336871398,Learning progress mediates the link between cognitive effort and task engagement.,2023,10.1016/j.cognition.2023.105418,36871398,"Sayalı, C and Heling, E and Cools, R",exclude,,insufficient effort+outcome overlap
FlemingH202336750498,Measuring cognitive effort without difficulty.,2023,10.3758/s13415-023-01065-9,36750498,"Fleming, H and Robinson, OJ and Roiser, JP",exclude,,insufficient effort+outcome overlap
DaubBD202336584309,Impacts of mental fatigue and sport specific film sessions on basketball shooting tasks.,2023,10.1080/17461391.2022.2161421,36584309,"Daub, BD and McLean, BD and Heishman, AD and Peak, KM and Coutts, AJ",exclude,,insufficient effort+outcome overlap
WuR202336355768,Do humans prefer cognitive effort over doing nothing?,2023,10.1037/xge0001320,36355768,"Wu, R and Ferguson, AM and Inzlicht, M",exclude,,insufficient effort+outcome overlap
BlumenthalL202236338869,The effects of cognitive effort on academic performance of learners with cochlear implants in a private mainstream school in Gauteng.,2022,10.4102/ajod.v11i0.886,36338869,"Blumenthal, L and Sefotho, MM",exclude,,insufficient effort+outcome overlap
FranzPJ202336302491,Examining tradeoffs between cognitive effort and relief among adults with self-injurious behavior.,2023,10.1016/j.jad.2022.10.029,36302491,"Franz, PJ and Fortgang, RG and Millner, AJ and Jaroszewski, AC and Wittler, EM a",exclude,,insufficient effort+outcome overlap
SoyluY202236247954,"Effects of mental fatigue on the psychophysiological responses, kinematic profiles, and technical performance in different small-sided soccer games.",2022,10.5114/biolsport.2022.110746,36247954,"Soylu, Y and Ramazanoglu, F and Arslan, E and Clemente, FM",exclude,,insufficient effort+outcome overlap
PetersKJ202236227342,Slowed reaction times in cognitive fatigue are not attributable to declines in motor preparation.,2022,10.1007/s00221-022-06444-1,36227342,"Peters, KJ and Maslovat, D and Carlsen, AN",exclude,,insufficient effort+outcome overlap
TeodoroT202336200349,"Functional cognitive disorder affects reaction time, subjective mental effort and global metacognition.",2023,10.1093/brain/awac363,36200349,"Teodoro, T and Koreki, A and Chen, J and Coebergh, J and Poole, N and Ferreira, ",exclude,,insufficient effort+outcome overlap
SunL202236078749,An Investigation of the Effects of Brain Fatigue on the Sustained Attention of Intelligent Coal Mine VDT Operators.,2022,10.3390/ijerph191711034,36078749,"Sun, L and Guo, Z and Yuan, X and Wang, X and Su, C and Jiang, J and Li, X",include,general,effort:sustained attention; outcome:fatigue
DepowGJ202236056071,"Cognitive effort for self, strangers, and charities.",2022,10.1038/s41598-022-19163-y,36056071,"Depow, GJ and Lin, H and Inzlicht, M",exclude,,insufficient effort+outcome overlap
BogdanovM202235724812,Dopaminergic medication increases motivation to exert cognitive control by reducing subjective effort costs in Parkinson's patients.,2022,10.1016/j.nlm.2022.107652,35724812,"Bogdanov, M and LoParco, S and Otto, AR and Sharp, M",include,general,effort:cognitive control; outcome:effort cost
WangZ202235511531,The effects of mental fatigue on effort allocation: Modeling and estimation.,2022,10.1037/rev0000365,35511531,"Wang, Z and Chang, Y and Schmeichel, BJ and Garcia, AA",exclude,,insufficient effort+outcome overlap
CioccaG202235324640,A Video-Based Tactical Task Does Not Elicit Mental Fatigue and Does Not Impair Soccer Performance in a Subsequent Small-Sided Game.,2022,10.3390/sports10030031,35324640,"Ciocca, G and Tessitore, A and Mandorino, M and Tschan, H",exclude,,insufficient effort+outcome overlap
CoveyTJ202235158458,"The relationship between cognitive impairment, cognitive fatigue, and visual evoked potential latency in people with multiple sclerosis.",2022,10.1016/j.msard.2021.103349,35158458,"Covey, TJ and Golan, D and Doniger, GM and Sergott, R and Zarif, M and Bumstead,",exclude,,insufficient effort+outcome overlap
BruijelJ202335107392,Mental effort and recovery from task-induced fatigue in people with traumatic brain injury.,2023,10.1080/09638288.2022.2030416,35107392,"Bruijel, J and Vermeeren, A and Stapert, SZ and van Heugten, CM",include,general,effort:mental effort; outcome:fatigue
ClayG202235101919,Rewarding cognitive effort increases the intrinsic value of mental labor.,2022,10.1073/pnas.2111785119,35101919,"Clay, G and Mlynski, C and Korb, FM and Goschke, T and Job, V",exclude,,insufficient effort+outcome overlap
PennaEM202134290647,No Effects of Mental Fatigue and Cerebral Stimulation on Physical Performance of Master Swimmers.,2021,10.3389/fpsyg.2021.656499,34290647,"Penna, EM and Filho, E and Campos, BT and Ferreira, RM and Parma, JO and Lage, G",exclude,,insufficient effort+outcome overlap
GndoduS202134216320,Assessment of mental fatigue and stress on electronic sport players with data fusion.,2021,10.1007/s11517-021-02389-9,34216320,"Gündoğdu, S and Çolak, ÖH and Doğan, EA and Gülbetekin, E and Polat, Ö",exclude,,insufficient effort+outcome overlap
CancelaT202133977185,Impact of pain on mental effort assessed as cardiovascular reactivity.,2021,10.1097/PR9.0000000000000917,33977185,"Cancela, T and Silvestrini, N",exclude,,insufficient effort+outcome overlap
KrejtzK202033828808,Pupillary and Microsaccadic Responses to Cognitive Effort and Emotional Arousal During Complex Decision Making.,2020,10.16910/jemr.13.5.2,33828808,"Krejtz, K and Żurawska, J and Duchowski, AT and Wichary, S",exclude,,insufficient effort+outcome overlap
BatistaMM202133586924,"Effect of mental fatigue on performance, perceptual and physiological responses in orienteering athletes.",2021,10.23736/S0022-4707.21.11334-9,33586924,"Batista, MM and Paludo, AC and DA Silva, MP and Martins, MV and Pauli, PH and Da",exclude,,insufficient effort+outcome overlap
SalomoneM202033505260,An Electromyographic Analysis of the Effects of Cognitive Fatigue on Online and Anticipatory Action Control.,2020,10.3389/fnhum.2020.615046,33505260,"Salomone, M and Burle, B and Fabre, L and Berberian, B",exclude,,insufficient effort+outcome overlap
GohHT202233468019,Perceived effort for reaching is associated with self-reported fatigue.,2022,10.1080/00222895.2021.1871877,33468019,"Goh, HT and Stewart, JC and Becker, K and Hung, CJ",exclude,,insufficient effort+outcome overlap
HerlambangMB202133395409,The effects of intrinsic motivation on mental fatigue.,2021,10.1371/journal.pone.0243754,33395409,"Herlambang, MB and Cnossen, F and Taatgen, NA",exclude,,insufficient effort+outcome overlap
VogelTA202033200988,Forced choices reveal a trade-off between cognitive effort and physical pain.,2020,10.7554/eLife.59410,33200988,"Vogel, TA and Savelson, ZM and Otto, AR and Roy, M",exclude,,insufficient effort+outcome overlap
HolgadoD202033103052,Mental Fatigue Might Be Not So Bad for Exercise Performance After All: A Systematic Review and Bias-Sensitive Meta-Analysis.,2020,10.5334/joc.126,33103052,"Holgado, D and Sanabria, D and Perales, JC and Vadillo, MA",exclude,,insufficient effort+outcome overlap
SoutschekA202032710816,Causal role of lateral prefrontal cortex in mental effort and fatigue.,2020,10.1002/hbm.25146,32710816,"Soutschek, A and Tobler, PN",include,general,effort:mental effort; outcome:fatigue
HeatonKJ202032657221,Predicting changes in performance due to cognitive fatigue: A multimodal approach based on speech motor coordination and electrodermal activity.,2020,10.1080/13854046.2020.1787522,32657221,"Heaton, KJ and Williamson, JR and Lammert, AC and Finkelstein, KR and Haven, CC ",exclude,,insufficient effort+outcome overlap
AbenB202032273486,Cognitive Effort Modulates Connectivity between Dorsal Anterior Cingulate Cortex and Task-Relevant Cortical Areas.,2020,10.1523/JNEUROSCI.2948-19.2020,32273486,"Aben, B and Buc Calderon, C and Van den Bussche, E and Verguts, T",include,L3,effort:cognitive effort; outcome:anterior cingulate
TrujilloLT201931866809,Mental Effort and Information-Processing Costs Are Inversely Related to Global Brain Free Energy During Visual Categorization.,2019,10.3389/fnins.2019.01292,31866809,"Trujillo, LT",exclude,,insufficient effort+outcome overlap
BambrahV201931522029,"Anticipated, experienced, and remembered subjective effort and discomfort on sustained attention versus working memory tasks.",2019,10.1016/j.concog.2019.102812,31522029,"Bambrah, V and Hsu, CF and Toplak, ME and Eastwood, JD",include,general,effort:working memory; outcome:discomfort
RenP201930995207,Cognitive fatigue and cortical-striatal network in old age.,2019,10.18632/aging.101915,30995207,"Ren, P and Anderson, AJ and McDermott, K and Baran, TM and Lin, F",exclude,,insufficient effort+outcome overlap
HerlambangMB201930817228,The Role of Motivation as a Factor in Mental Fatigue.,2019,10.1177/0018720819828569,30817228,"Herlambang, MB and Taatgen, NA and Cnossen, F",exclude,,insufficient effort+outcome overlap
SayalC201929944865,Neural systems of cognitive demand avoidance.,2019,10.1016/j.neuropsychologia.2018.06.016,29944865,"Sayalı, C and Badre, D",exclude,,insufficient effort+outcome overlap
OttoT201829912895,Feeling the force: Changes in a left-lateralized network of brain areas under simulated workday conditions are reflected in subjective mental effort investment.,2018,10.1371/journal.pone.0198204,29912895,"Otto, T and Zijlstra, FRH and Goebel, R",include,general,seed paper
MassarSAA201829899717,Quantifying the Motivational Effects of Cognitive Fatigue Through Effort-Based Decision Making.,2018,10.3389/fpsyg.2018.00843,29899717,"Massar, SAA and Csathó, Á and Van der Linden, D",exclude,,insufficient effort+outcome overlap
OttoAR201929750987,The opportunity cost of time modulates cognitive effort.,2019,10.1016/j.neuropsychologia.2018.05.006,29750987,"Otto, AR and Daw, ND",include,L1,effort:cognitive effort; outcome:opportunity cost
BerardJA201829670491,A Longitudinal Evaluation of Cognitive Fatigue on a Task of Sustained Attention in Early Relapsing-Remitting Multiple Sclerosis.,2018,10.7224/1537-2073.2016-106,29670491,"Berard, JA and Smith, AM and Walker, LAS",include,general,effort:sustained attention; outcome:fatigue
LopezGamundiP201829620381,The cognitive effort expenditure for rewards task (C-EEfRT): A novel measure of willingness to expend cognitive effort.,2018,10.1037/pas0000563,29620381,"Lopez-Gamundi, P and Wardle, MC",exclude,,insufficient effort+outcome overlap
MilyavskayaM201929601888,Reward sensitivity following boredom and cognitive effort: A high-powered neurophysiological investigation.,2019,10.1016/j.neuropsychologia.2018.03.033,29601888,"Milyavskaya, M and Inzlicht, M and Johnson, T and Larson, MJ",exclude,,insufficient effort+outcome overlap
BerardJA201929471423,Predictive Models of Cognitive Fatigue in Multiple Sclerosis.,2019,10.1093/arclin/acy014,29471423,"Berard, JA and Smith, AM and Walker, LAS",exclude,,insufficient effort+outcome overlap
HsuCF201829432429,Mental effort and discomfort: Testing the peak-end effect during a cognitively demanding task.,2018,10.1371/journal.pone.0191479,29432429,"Hsu, CF and Propp, L and Panetta, L and Martin, S and Dentakos, S and Toplak, ME",include,general,effort:mental effort; outcome:discomfort
FieneM201829356975,Electrophysiological and behavioral effects of frontal transcranial direct current stimulation on cognitive fatigue in multiple sclerosis.,2018,10.1007/s00415-018-8754-6,29356975,"Fiene, M and Rufener, KS and Kuehne, M and Matzke, M and Heinze, HJ and Zaehle, ",exclude,,insufficient effort+outcome overlap
PennaEM201829276857,Mental Fatigue Impairs Physical Performance in Young Swimmers.,2018,10.1123/pes.2017-0128,29276857,"Penna, EM and Filho, E and Wanner, SP and Campos, BT and Quinan, GR and Mendes, ",exclude,,insufficient effort+outcome overlap
DasariD201728611575,"ICA-Derived EEG Correlates to Mental Fatigue, Effort, and Workload in a Realistically Simulated Air Traffic Control Task.",2017,10.3389/fnins.2017.00297,28611575,"Dasari, D and Shou, G and Ding, L",exclude,,insufficient effort+outcome overlap
WylieGR201728547127,The relationship between outcome prediction and cognitive fatigue: A convergence of paradigms.,2017,10.3758/s13415-017-0515-y,28547127,"Wylie, GR and Genova, HM and DeLuca, J and Dobryakova, E",exclude,,insufficient effort+outcome overlap
HsuCF201728377736,Differences in Perceived Mental Effort Required and Discomfort during a Working Memory Task between Individuals At-risk And Not At-risk for ADHD.,2017,10.3389/fpsyg.2017.00407,28377736,"Hsu, CF and Eastwood, JD and Toplak, ME",include,general,effort:mental effort; outcome:discomfort
AShenhav20179df8a4,Toward a Rational and Mechanistic Account of Mental Effort.,2017,10.1146/annurev-neuro-072116-031526,28375769,A. Shenhav and Sebastian Musslick and Falk Lieder and W. Kool and T. Griffiths a,include,general,seed paper
BorragnG201728237888,Cognitive fatigue: A Time-based Resource-sharing account.,2017,10.1016/j.cortex.2017.01.023,28237888,"Borragán, G and Slama, H and Bartolomei, M and Peigneux, P",exclude,,insufficient effort+outcome overlap
ShumanParetskyM201727576190,Development and Validation of the State-Trait Inventory of Cognitive Fatigue in Community-Dwelling Older Adults.,2017,10.1016/j.apmr.2016.07.024,27576190,"Shuman-Paretsky, M and Zemon, V and Foley, FW and Holtzer, R",exclude,,insufficient effort+outcome overlap
InzlichtM201627199874,The Central Governor Model of Exercise Regulation Teaches Us Precious Little about the Nature of Mental Fatigue and Self-Control Failure.,2016,10.3389/fpsyg.2016.00656,27199874,"Inzlicht, M and Marcora, SM",exclude,,insufficient effort+outcome overlap
BadinOO201627003948,Mental Fatigue: Impairment of Technical Performance in Small-Sided Soccer Games.,2016,10.1123/ijspp.2015-0710,27003948,"Badin, OO and Smith, MR and Conte, D and Coutts, AJ",exclude,,insufficient effort+outcome overlap
